recordNumber,dwc:genus,species,Day,Month,Year,Day.of.the.year
g2-522,cyanotis,cyanotis barbata,15,2,2000,46
f-473,cyanotis,cyanotis barbata d. don,15,2,2000,46
t-169,cyanotis,cyanotis lanata benth.,24,7,1999,205
g1-181,cyathea,cyathea mossambicensis baker,17,7,1999,198
g1-95,cyathula,cyathula blume,27,10,2005,300
f-177,cyathula,cyathula blume,27,10,2005,300
g2-238,cyathula,cyathula cylindrica moq.,13,7,1999,194
f-490,cyathula,cyathula prostrata (l.) blume,4,6,1999,155
7ddf754f-d193-4cc9-b351-99906754a03b,cyathula prostrata,cyathula prostrata (l.) blume,4,6,1999,155
g2-410,cyathula,cyathula prostrata var. pedicellata (c.b. clarke) cavaco,4,6,1999,155
f-874,cycnium,cycnium adonense subsp. adonense,1,11,1999,305
g2-505,cynoglossum,cynoglossum l.,24,5,2019,144
g1-134,cynometra,cynometra filifera harms,9,6,2002,160
7ddf754f-d193-4cc9-b351-99906754a03b,cynometra filifera,cynometra filifera harms,2,11,2005,306
t-124,cynometra,cynometra lukei beentje,15,3,2003,74
f-599,cynorkis,cynorkis anacamptoides kraenzl.,28,11,1999,332
g2-44,cynorkis,cynorkis buchwaldiana subsp. braunii (kraenzl.) summerh.,15,2,2000,46
g1-296,cynorkis,cynorkis kaessneriana kraenzl.,4,11,2005,308
f-1232,cynorkis,cynorkis pleistadenia (rchb. f.) schltr.,14,6,1984,166
7ddf754f-d193-4cc9-b351-99906754a03b,,cyperaceae juss.,5,4,1999,95
g2-473,undesignated,cyperaceae juss.,17,7,1999,198
f-511,undesignated,cyperaceae juss.,10,12,1999,344
f-84,cyperus,cyperus ajax c.b. clarke,4,11,2005,308
g2-446,cyperus,cyperus alopecuroides rottb.,9,8,1999,221
f-671,cyperus,cyperus cyperoides subsp. cyperoides,10,3,2006,69
g1-161,cyperus,cyperus distans l. f.,11,3,2006,70
f-741,cyperus,cyperus distans l. f.,9,11,2005,313
f-1171,cyperus,cyperus esculentus l.,14,1,1999,14
t-112,cyperus,cyperus exaltatus retz.,11,3,2006,70
g1-264,cyperus,cyperus fischerianus g.w. schimp. ex a. rich.,27,10,2005,300
7ddf754f-d193-4cc9-b351-99906754a03b,,cyperus l.,3,4,1999,93
7ddf754f-d193-4cc9-b351-99906754a03b,,cyperus l.,14,7,1999,195
7ddf754f-d193-4cc9-b351-99906754a03b,,cyperus l.,18,12,1998,352
f-828,cyperus,cyperus l.,20,4,2001,110
f-966,cyperus,cyperus l.,15,9,1999,258
f-237,cyperus,cyperus longi-involucratus lye,4,11,2005,308
7ddf754f-d193-4cc9-b351-99906754a03b,cyperus purpureoviridis,cyperus purpureoviridis lye,30,9,2001,273
7ddf754f-d193-4cc9-b351-99906754a03b,cyperus purpureoviridis,cyperus purpureoviridis lye,30,10,2000,304
g1-101,cyperus,cyperus renschii boeckeler,4,11,2005,308
g2-246,cyperus,cyperus rohlfsii boeckeler,11,11,1997,315
f-1214,cyphostemma,cyphostemma (planch.) alston,10,3,2006,69
f-512,cyphostemma,cyphostemma (planch.) alston,17,6,2018,168
f-159,cyphostemma,cyphostemma adenocaule (steud. ex a. rich.) desc. ex wild & r.b. drumm.,14,4,1999,104
f-23,cyphostemma,cyphostemma braunii,22,6,1999,173
f-981,cyphostemma,cyphostemma braunii (gilg & m. brandt) desc.,22,6,1999,173
g2-247,cyphostemma,cyphostemma duparquetii,12,3,2006,71
g2-77,cyphostemma,cyphostemma greenwayi,1,7,1999,182
f-765,cyphostemma,cyphostemma greenwayi verdc.,1,7,1999,182
g1-217,cyphostemma,cyphostemma hildebrandtii (gilg) desc. ex wild & r.b. drumm.,15,7,1999,196
f-974,cyphostemma,cyphostemma schliebenii (mildbr.) desc.,28,6,1999,179
7ddf754f-d193-4cc9-b351-99906754a03b,cyrtanthus breviflorus,cyrtanthus breviflorus harv.,31,5,2002,151
g1-400,cyrtomium,cyrtomium micropterum (kunze) ching,20,7,1999,201
g1-258,dalbergia,dalbergia arbutifolia baker,8,1,1999,8
t-179,dalbergia,dalbergia boehmii subsp. boehmii,5,1,1999,5
7ddf754f-d193-4cc9-b351-99906754a03b,dalbergia boehmii,dalbergia boehmii subsp. boehmii,5,1,1999,5
7ddf754f-d193-4cc9-b351-99906754a03b,dalbergia boehmii,dalbergia boehmii subsp. stuhlmannii (taub.) polhill,18,10,2002,291
f-1139,dalbergia,dalbergia fischeri taub.,28,6,2002,179
t-81,dalbergia,dalbergia lactea vatke,26,10,2005,299
f-690,dalbergia,dalbergia melanoxylon guill. & perr.,12,11,1998,316
,dalbergia melanoxylon,dalbergia melanoxylon guill. & perr.,12,11,1998,316
f-156,dalechampia,dalechampia scandens l.,11,3,2006,70
g2-148,dalechampia,dalechampia scandens var. cordofana (hochst. ex webb) müll. arg.,6,6,1902,157
g1-234,dalechampia,dalechampia scandens var. cordofana (hochst. ex webb) müll. arg.,5,11,1997,309
t-82,delphinium,delphinium leroyi franch. ex huth,22,7,1999,203
f-401,desmodium,desmodium adscendens,10,5,1999,130
f-713,desmodium,desmodium adscendens,29,1,1999,29
f-1035,desmodium,desmodium adscendens,3,4,1999,93
f-927,desmodium,desmodium adscendens,3,4,1999,93
t-76,desmodium,desmodium adscendens,10,5,1999,130
f-195,desmodium,desmodium canum (j.f. gmel.) schinz & thell.,2,1,1999,2
7ddf754f-d193-4cc9-b351-99906754a03b,desmodium,desmodium repandum (vahl) poir.,20,7,1999,201
f-1207,desmodium,desmodium salicifolium (poir.) dc.,25,5,2002,145
f-55,desmodium,desmodium setigerum (e.mey.) benth. ex harv.,29,1,1999,29
,desmodium tortuosum,desmodium tortuosum (sw.) dc.,4,1,1999,4
f-375,dichapetalum,dichapetalum eickii ruhland,30,9,2001,273
f-1162,dichapetalum,dichapetalum eickii ruhland,7,11,2005,311
66dd0960-2d7d-46ee-a491-87b9adcfe7b1,dichapetalum eickii,dichapetalum eickii ruhland,7,11,2005,311
g1-356,dichrostachys,dichrostachys cinerea subsp. nyassana (taub.) brenan,5,1,1999,5
g2-458,dicliptera,dicliptera heterostegia nees,28,10,2005,301
g2-431,dicliptera,dicliptera laxata c.b. clarke,28,11,1999,332
t-116,dicranolepis,dicranolepis usambarica gilg,26,10,2005,299
046bbc50-cae2-47ff-aa43-729fbf53f7c5,dicranolepis usambarica,dicranolepis usambarica gilg,16,10,2002,289
f-139,dictyophleba,dictyophleba lucida,25,1,1999,25
7ddf754f-d193-4cc9-b351-99906754a03b,dictyophleba lucida,dictyophleba lucida,25,1,1999,25
f-1105,dictyophleba,dictyophleba lucida,25,1,1999,25
7ddf754f-d193-4cc9-b351-99906754a03b,dictyophleba lucida,dictyophleba lucida,10,3,2006,69
7ddf754f-d193-4cc9-b351-99906754a03b,dictyophleba lucida,dictyophleba lucida,25,1,1999,25
g2-78,didymosalpinx,didymosalpinx norae,1,7,1999,182
f-692,didymosalpinx,didymosalpinx norae,8,2,1999,39
f-62,didymosalpinx,didymosalpinx norae,8,2,1999,39
f-1030,didymosalpinx,didymosalpinx norae,7,4,1999,97
g1-249,didymosalpinx,didymosalpinx norae,22,6,2002,173
g1-139,didymosalpinx,didymosalpinx norae,1,7,1999,182
f-675,didymosalpinx,didymosalpinx norae,14,9,1999,257
g1-160,didymosalpinx,didymosalpinx norae,3,11,1998,307
7ddf754f-d193-4cc9-b351-99906754a03b,didymosalpinx norae,didymosalpinx norae,10,3,2006,69
7ddf754f-d193-4cc9-b351-99906754a03b,digitaria diagonalis,digitaria diagonalis (nees) stapf,15,7,1999,196
g1-104,diodella,diodella sarmentosa (sw.) bacigalupo & e.l. cabral,1,7,1999,182
f-214,diodella,diodella sarmentosa (sw.) bacigalupo & e.l. cabral,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,,diodia sarmentosa sw.,20,10,1998,293
g2-311,diodia,diodia sarmentosa sw.,14,1,1999,14
g1-381,diodia,diodia sarmentosa sw.,13,3,2006,72
7ddf754f-d193-4cc9-b351-99906754a03b,dioscorea asteriscus,dioscorea asteriscus,31,5,1999,151
g1-284,dioscorea,dioscorea asteriscus burkill,4,4,1999,94
g1-36,dioscorea,dioscorea asteriscus burkill,31,5,1999,151
f-1046,dioscorea,dioscorea hirtiflora subsp. orientalis milne-redh.,6,4,1999,96
t-153,dioscorea,dioscorea hylophila harms,5,4,1999,95
f-806,dioscorea,dioscorea l.,2,6,1999,153
g1-200,dioscorea,dioscorea quartiniana a. rich.,14,2,2000,45
g2-397,dioscorea,dioscorea quartiniana a.rich.,14,2,2000,45
g2-543,dioscoreophyllum,dioscoreophyllum volkensii engl. var. volkensii,15,3,2006,74
g1-391,dioscoreophyllum,dioscoreophyllum volkensii var. volkensii,15,3,2006,74
f-780,diospyros,diospyros amaniensis gürke,28,6,2002,179
g2-65,diospyros,diospyros fischeri gürke,16,4,2002,106
7ddf754f-d193-4cc9-b351-99906754a03b,diospyros kabuyeana,diospyros kabuyeana f. white,12,11,1997,316
,diospyros lotus,diospyros l.,24,8,2010,236
g1-282,diospyros,diospyros l.,24,8,2010,236
g1-377,diospyros,diospyros occulta f. white,26,9,2000,270
f-128,diospyros,diospyros uzungwaensis frim.-møll. & ndang.,8,2,1996,39
g2-372,diospyros,diospyros whyteana (hiern) f. white,12,2,2000,43
f-968,diospyros,diospyros whyteana (hiern) f. white,16,4,2002,106
g2-408,diospyros,diospyros whyteana (hiern) f. white,30,7,1999,211
f-653,diospyros,diospyros whyteana (hiern) f. white,9,9,1999,252
t-156,diospyros,diospyros whyteana (hiern) f. white,29,10,2005,302
g1-29,diospyros,diospyros zombensis (b.l. burtt) f. white,4,1,1999,4
g1-352,diospyros,diospyros zombensis (b.l. burtt) f. white,5,1,1999,5
f-377,diospyros,diospyros zombensis (b.l. burtt) f. white,10,3,2006,69
g1-62,diospyros,diospyros zombensis (b.l. burtt) f. white,11,3,2006,70
g1-39,diospyros,diospyros zombensis (b.l. burtt) f. white,9,10,1998,282
7ddf754f-d193-4cc9-b351-99906754a03b,diospyros zombensis,diospyros zombensis (b.l. burtt) f. white,8,1,1999,8
f-1130,diplazium,diplazium nemorale (baker) schelpe,27,10,2005,300
f-1202,diplazium,diplazium pseudoporrectum hieron.,1,10,1901,274
,diplazium pseudoporrectum,diplazium pseudoporrectum hieron.,31,10,1905,304
f-659,diplocyclos,diplocyclos schliebenii (harms) c. jeffrey,27,3,1988,87
g2-173,diplocyclos,diplocyclos schliebenii (harms) c. jeffrey,29,5,2002,149
f-1036,diplocyclos,diplocyclos schliebenii (harms) c. jeffrey,4,11,2005,308
7ddf754f-d193-4cc9-b351-99906754a03b,diplocyclos schliebenii,diplocyclos schliebenii (harms) c. jeffrey,27,3,1988,87
g2-439,diplocyclos,diplocyclos schliebenii (harms) c.jeffrey,29,5,2002,149
g1-216,diplorhynchus,diplorhynchus condylocarpon,14,1,1999,14
g2-209,diplorhynchus,diplorhynchus condylocarpon,28,6,1999,179
f-40,diplorhynchus,diplorhynchus condylocarpon,28,6,1999,179
7ddf754f-d193-4cc9-b351-99906754a03b,diplorhynchus condylocarpon,diplorhynchus condylocarpon,28,6,1999,179
f-1093,diplorhynchus,diplorhynchus condylocarpon,5,1,1999,5
f-137,diplorhynchus,diplorhynchus condylocarpon,14,1,1999,14
f-549,diplorhynchus,diplorhynchus condylocarpon,14,6,1995,165
g2-46,diplorhynchus,diplorhynchus condylocarpon,28,6,1999,179
f-233,diplorhynchus,diplorhynchus condylocarpon,21,12,1998,355
7ddf754f-d193-4cc9-b351-99906754a03b,diplorhynchus condylocarpon,diplorhynchus condylocarpon,21,12,1998,355
f-719,discopodium,discopodium penninervium hochst.,13,7,1999,194
g2-115,discopodium,discopodium penninervium hochst.,19,7,1999,200
t-59,discopodium,discopodium penninervium hochst.,3,11,2005,307
f-373,disperis,disperis uzungwae verdc.,15,4,1984,106
f-735,dissotis,dissotis benth.,3,4,1999,93
f-1032,dissotis,dissotis benth.,29,10,2005,302
t-43,dissotis,dissotis benth.,5,11,2005,309
g1-281,dissotis,dissotis brazzae cogn.,3,4,1999,93
7ddf754f-d193-4cc9-b351-99906754a03b,dissotis polyantha,dissotis polyantha gilg,1,12,1981,335
f-536,dissotis,dissotis princeps (kunth) triana,15,7,1999,196
g1-383,dissotis,dissotis rotundifolia (sm.) triana,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,antherotoma senegambiensis,dissotis senegambiensis (guill. & perr.) triana,22,7,1999,203
t-84,distephanus,distephanus divaricatus (steetz) h. rob. & b. kahn,7,9,1999,250
7ddf754f-d193-4cc9-b351-99906754a03b,,distimake dissectus (jacq.) a.r. simões & staples,2,1,1999,2
7ddf754f-d193-4cc9-b351-99906754a03b,dodonaea viscosa,dodonaea viscosa ,6,4,1999,96
g1-336,dodonaea,dodonaea viscosa ,4,4,1999,94
f-149,dodonaea,dodonaea viscosa ,6,4,1999,96
g1-212,dodonaea,dodonaea viscosa ,15,7,1999,196
f-738,dodonaea,dodonaea viscosa ,22,7,1999,203
g1-347,dodonaea,dodonaea viscosa ,29,10,2005,302
g2-68,dolichos,dolichos kilimandscharicus subsp. kilimandscharicus,18,10,2002,291
7ddf754f-d193-4cc9-b351-99906754a03b,dombeya costulatinervia,dombeya cav.,13,7,1999,194
,dombeya costulatinervia,dombeya cav.,8,8,1995,220
g2-107,dombeya,dombeya torrida (j.f.gmel.) hepper & friis subsp. erythroleuca (k.schum.) seyani,31,10,2005,304
f-681,dombeya,dombeya torrida subsp. erythroleuca (k. schum.) seyani,22,8,2010,234
7ddf754f-d193-4cc9-b351-99906754a03b,dombeya torrida,dombeya torrida subsp. erythroleuca (k. schum.) seyani,31,10,2005,304
d9a4eedb-e985-4456-ad46-3df8472e00e8,dorstenia hildebrandtii,dorstenia hildebrandtii var. schlechteri (engl.) hijman,4,4,1999,94
f-768,dorstenia,dorstenia l.,9,11,2005,313
g2-509,dorstenia,dorstenia tayloriana rendle,17,7,1998,198
g1-361,doryopteris,doryopteris concolor var. nicklesii (tardieu) schelpe,29,10,2005,302
g2-138,dovyalis,dovyalis e. mey. ex arn.,6,4,1999,96
g1-125,dovyalis,dovyalis macrocalyx (oliv.) warb.,29,11,1999,333
g2-507,dracaena,dracaena laxissima engl.,16,7,1999,197
g2-400,dracaena,dracaena laxissima engl.,4,11,1999,308
f-643,dracaena,dracaena laxissima engl.,4,11,1999,308
7ddf754f-d193-4cc9-b351-99906754a03b,dracaena laxissima,dracaena laxissima engl.,16,7,1999,197
f-925,dracaena,dracaena mannii baker,13,3,2006,72
g2-342,dracaena,dracaena mannii baker,2,10,1998,275
g1-247,dracaena,dracaena mannii baker,29,10,2005,302
g2-537,dracaena,dracaena steudneri engl.,23,9,2001,266
g2-28,dracaena,dracaena usambarensis engl.,8,1,1999,8
f-124,drimiopsis,drimiopsis botryoides baker subsp. prostrata stedje,5,2,1999,36
g1-185,drimiopsis,drimiopsis botryoides subsp. prostrata stedje,5,2,1999,36
g2-70,droguetia,droguetia iners subsp. iners,11,3,2006,70
g1-261,droogmansia,droogmansia pteropus (baker) de wild.,2,8,1999,214
7ddf754f-d193-4cc9-b351-99906754a03b,droogmansia pteropus,droogmansia pteropus var. whytei (schindl.) verdc.,12,11,1999,316
7ddf754f-d193-4cc9-b351-99906754a03b,drosera madagascariensis,drosera madagascarensis,4,10,2000,278
g2-519,drosera,drosera madagascariensis dc.,4,10,1900,277
f-44,drosera,drosera madagascariensis dc.,28,11,1999,332
f-1217,drymaria,drymaria cordata (l.) willd. ex schult.,27,10,2005,300
7ddf754f-d193-4cc9-b351-99906754a03b,dryopteris,dryopteris manniana,28,11,1999,332
g1-61,dryopteris,dryopteris manniana (hook.) c. chr.,28,11,1999,332
g2-301,dryopteris,dryopteris tricelluaris j.p. roux,4,10,2000,278
g1-300,drypetes,drypetes gerrardii hutch.,5,11,1905,309
f-668,drypetes,drypetes gerrardinoides radcl.-sm.,30,10,1905,303
f-756,drypetes,drypetes natalensis (harv.) hutch.,12,3,1906,71
7ddf754f-d193-4cc9-b351-99906754a03b,drypetes usambarica,drypetes usambarica (pax) hutch.,2,10,1901,275
f-1148,drypetes,drypetes usambarica var. trichogyna radcl.-sm.,24,10,1905,297
,drypetes usambarica,drypetes usambarica var. trichogyna radcl.-sm.,17,11,1983,321
,drypetes usambarica,drypetes usambarica var. trichogyna radcl.-sm.,8,11,2005,312
g2-535,drypetes,drypetes vahl,9,6,2018,160
f-136,dumasia,dumasia villosa dc.,2,11,2005,306
f-244,dumortiera,dumortiera hirsuta (sw.) nees,24,10,2005,297
f-885,duosperma,duosperma tanzaniense vollesen,8,9,1999,251
g2-529,dyschoriste,dyschoriste trichocalyx subsp. trichocalyx,25,5,2002,145
g2-530,ecbolium,ecbolium tanzaniense vollesen,17,3,2003,76
t-61,echinochloa,echinochloa p. beauv.,20,4,2001,110
f-540,edrastima,edrastima goreensis (dc.) neupane & n. wikstrom,14,1,1999,14
g2-230,ehretia,ehretia cymosa var. silvatica (gürke) brenan,18,10,1902,291
g2-453,elaphoglossum,elaphoglossum acrostichoides,2,10,2001,275
g1-350,elaphoglossum,elaphoglossum deckenii (kuhn) c. chr.,1,11,2005,305
g2-121,elaphoglossum,elaphoglossum schott ex j. sm.,5,11,2005,309
f-778,elatostema,elatostema monticola hook. f.,27,10,2005,300
g2-531,elephantopus,elephantopus scaber subsp. plurisetus (o. hoffm.) philipson,24,5,2019,144
g2-513,embelia,embelia burm. f.,12,6,2018,163
g1-408,embelia,embelia schimperi vatke,5,11,2005,309
7ddf754f-d193-4cc9-b351-99906754a03b,emilia caespitosa,emilia caespitosa oliv.,7,6,1999,158
f-967,emilia,emilia cass.,14,2,2000,45
f-739,emilia,emilia coccinea (sims) g. don,2,10,1998,275
d9a4eedb-e985-4456-ad46-3df8472e00e8,,emilia coccinea (sims) g.don,2,10,1998,275
f-192,emilia,emilia sonchifolia (l.) dc.,22,7,1999,203
t-121,emilia,emilia tenuipes c. jeffrey,8,6,2002,159
t-71,emilia,emilia ukingensis (o. hoffm.) c. jeffrey,15,2,2000,46
g1-7,emilia,emilia ukingensis (o. hoffm.) c. jeffrey,30,5,2002,150
f-989,eminia,eminia antennulifera (baker) taub.,11,10,2002,284
g1-240,empogona,empogona acidophylla (robbr.) tosh & robbr.,29,11,1999,333
f-452,englerina,englerina inaequilatera (engl.) gilli,14,7,1999,195
t-135,englerina,englerina inaequilatera (engl.) gilli,4,11,1999,308
f-367,englerina,englerina longiflora polhill & wiens,14,6,1984,166
g2-514,entada,entada abyssinica steud. ex a. rich.,12,11,1998,316
g2-213,entada,entada abyssinica steud. ex a.rich.,12,11,1998,316
f-203,entada,entada rheedei spreng.,9,11,2005,313
f-809,entada,entada rheedei spreng.,15,12,1998,349
f-379,entada,entada stuhlmannii (taub.) harms,17,3,1903,76
g2-440,mimulopsis,epiclastopelma marroninum vollesen,27,9,2001,270
g2-315,mimulopsis,epiclastopelma marroninum vollesen,27,9,2001,270
g2-283,mimulopsis,epiclastopelma marroninum vollesen,27,9,2001,270
g1-174,mimulopsis,epiclastopelma marroninum vollesen,27,9,2001,270
f-633,eragrostis,eragrostis ciliaris,14,1,1999,14
t-17,eragrostis,eragrostis ciliaris (l.) r. br.,14,1,1999,14
g1-319,erica,erica arborea l.,30,7,1999,211
g2-190,erica,erica benguelensis var. benguelensis,24,5,2019,144
7ddf754f-d193-4cc9-b351-99906754a03b,erica benguelensis,erica benguelensis var. benguelensis,4,11,2005,308
g1-153,erica,erica l.,3,4,1999,93
7ddf754f-d193-4cc9-b351-99906754a03b,,erica mannii subsp. usambarensis,4,4,1999,94
g2-253,erica,erica mannii subsp. usambarensis,4,4,1999,94
f-1177,erica,erica mannii subsp. usambarensis (alm & t.c.e. fr.) beentje,4,4,1999,94
f-1195,erica,erica mannii subsp. usambarensis (alm & t.c.e. fr.) beentje,4,4,1999,94
t-178,eriocaulon,eriocaulon transvaalicum subsp. hanningtonii (n.e. br.) s.m. phillips,31,5,2002,151
t-92,eriosema,eriosema (dc.) desv.,27,10,2005,300
g1-349,eriosema,eriosema montanum var. montanum,3,10,1900,276
f-282,eriosema,eriosema psoraleoides (lam.) g. don,26,10,1905,299
f-607,eriosema,eriosema scioanum avetta,4,6,1999,155
,eriosema scioanum,eriosema scioanum avetta,4,6,1999,155
g2-111,eriosema,eriosema scioanum subsp. lejeunei (staner & de craene) verdc.,4,6,1999,155
g1-331,eriosema,eriosema scioanum subsp. lejeunei (staner & de craene) verdc.,22,7,1999,203
g1-172,erythrina,erythrina abyssinica lam.,5,8,1999,217
f-1183,erythrina,erythrina haerdii verdc.,26,10,1905,299
,erythrina haerdii,erythrina haerdii verdc.,18,10,1902,291
g2-9,erythrocephalum,erythrocephalum longifolium benth. ex oliv.,7,4,1999,97
f-773,erythrocephalum,erythrocephalum longifolium benth. ex oliv.,7,4,1999,97
f-51,erythrocephalum,erythrocephalum longifolium benth. ex oliv.,7,4,1999,97
f-439,erythrococca,erythrococca atrovirens,26,11,1999,330
f-751,erythrococca,erythrococca atrovirens var. atrovirens,26,11,1999,330
g1-30,erythrococca,erythrococca benth.,16,3,2003,75
t-2,erythrococca,erythrococca benth.,5,11,2005,309
f-522,erythrococca,erythrococca sanjensis,24,9,2000,268
f-748,erythrococca,erythrococca sanjensis radcl.-sm.,24,9,2000,268
f-185,erythrococca,erythrococca sanjensis radcl.-sm.,24,9,2000,268
f-82,erythrococca,erythrococca sanjensis radcl.-sm.,24,10,2005,297
g1-245,erythrococca,erythrococca sanjensis radcl.-sm.,8,11,1997,312
f-41,erythrococca,erythrococca sanjensis radcl.-sm.,1,11,2005,305
7ddf754f-d193-4cc9-b351-99906754a03b,erythrococca sanjensis,erythrococca sanjensis radcl.-sm.,28,11,1999,332
f-446,erythrococca,erythrococca trichogyne,28,11,1999,332
g1-106,erythrococca,erythrococca trichogyne (müll. arg.) prain,28,11,1999,332
f-93,erythrococca,erythrococca ulugurensis,14,1,1999,14
f-863,erythrococca,erythrococca ulugurensis radcl.-sm.,14,1,1999,14
g1-335,erythrococca,erythrococca ulugurensis radcl.-sm.,25,10,1905,298
g1-147,erythrococca,erythrococca ulugurensis radcl.-sm.,25,10,2005,298
g2-403,erythrococca,erythrococca usambarica prain,1,2,1999,32
f-1074,erythrococca,erythrococca usambarica prain,16,3,1903,75
f-1187,erythrococca,erythrococca usambarica prain,13,9,1970,256
f-368,erythrococca,erythrococca usambarica prain,27,10,2005,300
t-145,erythrococca,erythrococca usambarica prain,6,11,1997,310
f-232,erythroxylum,erythroxylum emarginatum thonn.,10,3,2006,69
7ddf754f-d193-4cc9-b351-99906754a03b,erythroxylum fischeri,erythroxylum fischeri engl.,14,9,1999,257
f-919,ethulia,ethulia conyzoides l. f.,4,6,1999,155
7ddf754f-d193-4cc9-b351-99906754a03b,ethulia conyzoides,ethulia conyzoides l. f.,4,6,1999,155
d9a4eedb-e985-4456-ad46-3df8472e00e8,ethulia conyzoides,ethulia conyzoides l. f.,4,6,1999,155
g2-402,ethulia,ethulia paucifructa m.g. gilbert,23,9,2001,266
f-327,ethulia,ethulia paucifructa m.g. gilbert,7,11,1997,311
f-239,ethulia,ethulia paucifructa m.g. gilbert,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,ethulia paucifructa,ethulia paucifructa m.g. gilbert,29,6,1999,180
7ddf754f-d193-4cc9-b351-99906754a03b,ethulia paucifructa,ethulia paucifructa m.g. gilbert,1,7,1999,182
g1-24,eugenia,eugenia l.,14,3,2006,73
g2-306,eugenia,eugenia toxanatolica verdc.,4,10,2000,278
g2-252,eulophia,eulophia cucullata (sw.) steud.,10,12,1999,344
g1-327,eulophia,eulophia cucullata (sw.) steud.,10,12,1999,344
g1-114,eulophia,eulophia horsfallii (bateman) summerh.,28,11,1999,332
046bbc50-cae2-47ff-aa43-729fbf53f7c5,eulophia parvula,eulophia parvula (rendle) summerh.,10,12,1999,344
7ddf754f-d193-4cc9-b351-99906754a03b,eulophia speciosa,eulophia speciosa (r. br. ex lindl.) bolus,10,12,1999,344
f-742,eulophia,eulophia streptopetala lindl.,29,10,2005,302
f-323,eulophia,eulophia zeyheri hook. f.,19,11,1999,323
g1-304,euphorbia,euphorbia espinosa pax,17,3,2003,76
f-820,euphorbia,euphorbia goetzei pax,16,3,2003,75
f-938,euphorbia,euphorbia heterophylla l.,20,10,1998,293
f-680,euphorbia,euphorbia hirta l.,21,1,1999,21
f-772,euphorbia,euphorbia hirta l.,7,10,1998,280
,euphorbia,euphorbia hirta l.,21,1,1999,21
f-1088,euphorbia,euphorbia inaequilatera sond.,21,1,1999,21
f-1225,euphorbia,euphorbia inaequilatera sond.,5,4,1999,95
7ddf754f-d193-4cc9-b351-99906754a03b,euphorbia inaequilatera,euphorbia inaequilatera sond.,21,1,1999,21
g1-215,euphorbia,euphorbia l.,29,10,2005,302
t-85,euphorbia,euphorbia schimperiana scheele,31,10,2005,304
f-588,euphorbia,euphorbia schimperiana var. pubescens (n.e. br.) s. carter,3,10,2000,277
g1-27,euphorbia,euphorbia usambarica subsp. usambarica,20,7,1999,201
t-29,euphorbia,euphorbia usambarica subsp. usambarica,24,9,1900,267
t-160,euphorbia,euphorbia usambarica subsp. usambarica,14,10,1902,287
g2-116,euphorbia,euphorbia usambarica subsp. usambarica,4,11,1999,308
7ddf754f-d193-4cc9-b351-99906754a03b,euphorbia usambarica,euphorbia usambarica subsp. usambarica,26,10,1905,299
7ddf754f-d193-4cc9-b351-99906754a03b,,euphorbia usambarica subsp. usambarica,4,11,1999,308
f-915,undesignated,euphorbiaceae juss.,17,1,1999,17
g2-251,undesignated,euphorbiaceae juss.,8,6,2018,159
f-299,undesignated,euphorbiaceae juss.,24,8,2010,236
f-1118,undesignated,euphorbiaceae juss.,4,11,2005,308
g2-351,fagopyrum,fagopyrum snowdenii (hutch. & dandy) s.p. hong,14,2,2000,45
f-698,fernandoa,fernandoa abbreviata bidgood,25,9,1900,268
t-181,fernandoa,fernandoa abbreviata bidgood,13,9,1970,256
7ddf754f-d193-4cc9-b351-99906754a03b,festuca brevissima,festuca l.,27,10,2005,300
,ficalhoa laurifolia,ficalhoa laurifolia hiern,26,10,2005,299
f-662,ficus,ficus craterostoma warb. ex mildbr. & burret,8,11,2005,312
f-206,ficus,ficus cyathistipula warb.,28,11,1999,332
7ddf754f-d193-4cc9-b351-99906754a03b,ficus exasperata,ficus exasperata vahl,4,1,1999,4
7ddf754f-d193-4cc9-b351-99906754a03b,ficus exasperata,ficus exasperata vahl,6,10,1998,279
g1-58,ficus,ficus l.,16,5,2001,136
f-29,ficus,ficus l.,28,6,2002,179
g2-218,ficus,ficus l.,19,6,2018,170
f-587,ficus,ficus sur forssk.,15,6,1995,166
f-689,ficus,ficus sur forssk.,13,10,1998,286
t-129,ficus,ficus sur forssk.,28,11,1999,332
f-222,ficus,ficus sur forssk.,9,11,2005,313
7ddf754f-d193-4cc9-b351-99906754a03b,,ficus vallis-choudae delile,14,1,1999,14
7ddf754f-d193-4cc9-b351-99906754a03b,,ficus vallis-choudae delile,28,1,1999,28
7ddf754f-d193-4cc9-b351-99906754a03b,,ficus vallis-choudae delile,5,10,1998,278
,,ficus vallis-choudae delile,24,12,1998,358
g1-367,ficus,ficus vallis-choudae delile,14,1,1999,14
g1-10,ficus,ficus vallis-choudae delile,28,1,1999,28
f-1002,ficus,ficus vallis-choudae delile,21,12,1998,355
g1-28,fimbristylis,fimbristylis dichotoma (l.) vahl,14,1,1999,14
g1-208,fimbristylis,fimbristylis dichotoma (l.) vahl,20,10,1998,293
g2-11,fimbristylis,fimbristylis dichotoma (l.) vahl,9,11,2005,313
t-125,flacourtia,flacourtia indica (burm. f.) merr.,28,6,2002,179
f-626,flacourtia,flacourtia indica (burm. f.) merr.,28,6,2002,179
