dwc:occurrenceID,dwc:catalogNumber,dwc:datasetID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031840,p031840,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,9,1907,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031841,p031841,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,22,9,1907,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031820,p031820,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,22,9,1937,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031828,p031828,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,11,1944,326
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031827,p031827,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,11,1944,326
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031837,p031837,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,26,12,1948,361
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031829,p031829,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,30,8,1954,242
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031830,p031830,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,9,1954,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031831,p031831,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,10,1954,294
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031832,p031832,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,29,10,1954,302
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00694642,p00694642,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,16,10,1956,290
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00695595,p00695595,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,16,10,1956,290
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00694655,p00694655,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,10,1956,295
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00694646,p00694646,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,10,1956,295
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00694649,p00694649,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,22,11,1956,327
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01192425,p01192425,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,15,10,2016,289
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031839,p031839,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,8,9,1905,251
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031838,p031838,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,6,11,1905,310
