dwc:recordNumber,dwc:genus,species,dwc:scientificName,Day,Month,Year,Day.of.the.year
554,crassula,crassula swaziensis,crassula swaziensis schönl,7,6,2008,159
"harris, t; et al.  554",crassula,crassula swaziensis,crassula swaziensis schönland,7,6,2008,159
harder 2139,craterispermum,craterispermum schweinfurthii,craterispermum schweinfurthii hiern,25,11,1993,329
"harder, dk; merello, mc; nkhoma, cn; malama, e  2139",craterispermum,craterispermum schweinfurthii,craterispermum schweinfurthii hiern,25,11,1993,329
chisumpa 13501,craterosiphon,craterosiphon quarrei,synaptolepis quarrei (staner) z.s. rogers,3,2,1988,34
105,craterosiphon,craterosiphon quarrei,synaptolepis quarrei,28,2,1995,59
luwiika 105,craterosiphon,craterosiphon quarrei,synaptolepis quarrei (staner) z.s. rogers,28,2,1995,59
schmitz 6403,craterosiphon,craterosiphon quarrei,synaptolepis quarrei (staner) z.s. rogers,13,1,1959,13
schmitz 6174,craterosiphon,craterosiphon quarrei,synaptolepis quarrei (staner) z.s. rogers,7,8,1958,219
kuchar 23052,craterostigma,craterostigma hirsutum,craterostigma hirsutum s. moore,21,2,2000,52
harder 1529,cremaspora,cremaspora triflora,cremaspora triflora subsp. triflora,30,11,1992,335
nkhoma 319,cremaspora,cremaspora triflora,cremaspora triflora subsp. triflora,25,5,1994,145
harder 1201,cremaspora,cremaspora triflora,cremaspora triflora subsp. triflora,24,10,1992,298
"malaisse, f; goetghebeur, p  1048",crepidorhopalon,crepidorhopalon tenuis,lindernia damblonii p.a.duvign.,22,5,1985,142
gereau 5103,crepis,crepis newii,crepis newii oliv. & hiern,22,11,1992,327
harder 1375,crinum,crinum macowanii,crinum macowanii baker,2,11,1992,307
4248,crossandra,crossandra nilotica,crossandra nilotica oliver,23,8,2005,235
mwangoka 4248,crossandra,crossandra nilotica,crossandra nilotica oliv.,23,8,2005,235
,crossandra,crossandra pungens,crossandra pungens,6,12,1986,340
de nevers 3198,crossandra,crossandra subacaulis,crossandra subacaulis c.b. clarke,3,4,1984,94
,crossopteryx,crossopteryx febrifuga,crossopteryx febrifuga,8,2,1993,39
,crossopteryx,crossopteryx febrifuga,crossopteryx febrifuga,12,2,1993,43
kuchar 24681,crossopteryx,crossopteryx febrifuga,crossopteryx febrifuga (afzel. ex g. don) benth.,2,6,2001,153
mboya 233,crossopteryx,crossopteryx febrifuga,crossopteryx febrifuga (afzel. ex g. don) benth.,1,3,2001,60
zimba 1062,crossopteryx,crossopteryx febrifuga,crossopteryx febrifuga (afzel. ex g. don) benth.,8,3,1997,67
harder 2134,crotalaria,crotalaria abscondita,crotalaria abscondita welw. ex baker,25,11,1993,329
zimba 1032,crotalaria,crotalaria aculeata,crotalaria aculeata subsp. aculeata,8,3,1997,67
nkhoma 317,crotalaria,crotalaria aculeata,crotalaria aculeata subsp. aculeata,25,5,1994,145
,crotalaria,crotalaria adolfi,crotalaria adolfii,24,5,1987,144
,crotalaria,crotalaria alexandri,crotalaria alexandri,23,5,1987,143
kuchar 24572,crotalaria,crotalaria alexandri,crotalaria alexandri baker f.,12,5,2001,132
schmidt 2506,crotalaria,crotalaria alexandri,crotalaria alexandri baker f.,11,3,1997,70
mwangoka 3935,crotalaria,crotalaria alexandri,crotalaria alexandri baker f.,7,6,2005,158
mollel 659,crotalaria,crotalaria alexandri,crotalaria alexandri baker f.,15,12,2001,349
2506,crotalaria,crotalaria alexandri,crotalaria alexandri,11,3,1997,70
mutch gm 289,crotalaria,crotalaria becquetii,crotalaria becquetii baker f. ex r. wilczek,28,3,1973,87
3038,crotalaria,crotalaria bemba,crotalaria bemba r.wilczek,15,4,1989,105
17082,crotalaria,crotalaria bemba,crotalaria bemba r.wilczek,1,4,1984,92
mollel 739,crotalaria,crotalaria bequaertii,crotalaria bequaertii baker f.,16,12,2001,350
"kayombo, cj; ayubu, j; kibure, oa  6792",crotalaria,crotalaria bequaertii,crotalaria bequaertii baker f.,10,8,2010,222
mwangoka 5379,crotalaria,crotalaria biflora,crotalaria l.,18,4,2007,108
mollel 634,crotalaria,crotalaria biflora,crotalaria l.,13,6,2001,164
harder 3563,crotalaria,crotalaria biflora,crotalaria l.,28,2,1996,59
mwangoka 3939,crotalaria,crotalaria biflora,crotalaria l.,7,6,2005,158
nawa 133,crotalaria,crotalaria biflora,crotalaria l.,24,2,1995,55
mwangoka 5338,crotalaria,crotalaria biflora,crotalaria l.,13,4,2007,103
harder 3683,crotalaria,crotalaria biflora,crotalaria l.,12,3,1996,72
harder 4009,crotalaria,crotalaria biflora,crotalaria l.,9,3,1997,68
smith 80,crotalaria,crotalaria biflora,crotalaria l.,9,12,1993,343
smith 215,crotalaria,crotalaria biflora,crotalaria l.,2,2,1994,33
de nevers 3207,crotalaria,crotalaria calycina,crotalaria calycina schrank,3,4,1984,94
schmidt 2508,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,11,3,1997,70
carter 2473,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,26,5,1990,146
laizer 1268,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,1,6,2005,152
kindeketa 1172,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,20,6,2001,171
kindeketa 916,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,25,5,2001,145
mwangoka 3933,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,7,6,2005,158
mollel 622,crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a. rich.,13,6,2001,164
"kayombo, cj; ayubu, j; kibure, oa  6798",crotalaria,crotalaria cephalotes,crotalaria cephalotes steud. ex a.rich.,10,8,2010,222
,crotalaria,crotalaria cleomifolia,crotalaria cleomifolia,25,5,1994,145
nkhoma 284,crotalaria,crotalaria cleomifolia,crotalaria cleomifolia welw. ex baker,25,5,1994,145
schmidt 1441,crotalaria,crotalaria cornetii,crotalaria cornetii taubert & dewevre,22,5,1994,142
1441,crotalaria,crotalaria cornetii,crotalaria cornetii,22,5,1994,142
nkhoma 150,crotalaria,crotalaria cornetii,crotalaria cornetii taubert & dewevre,9,5,1994,129
kindeketa 926,crotalaria,crotalaria cylindrostachys,crotalaria cylindrostachys welw. ex baker,10,6,2001,161
kuchar 22132,crotalaria,crotalaria deserticola,crotalaria deserticola subsp. deserticola,8,6,1999,159
"kayombo, cj; ayubu, j; kibure, oa  6800",crotalaria,crotalaria deserticola,crotalaria deserticola taub. ex baker f. subsp. deserticola   var. robusta,10,8,2010,222
vollesen 2855,crotalaria,crotalaria emarginata,crotalaria emarginata bojer ex benth.,17,10,1975,290
harder 3982,crotalaria,crotalaria filicaulis,crotalaria filicaulis var. filicaulis,9,3,1997,68
schmidt 2517,crotalaria,crotalaria filicaulis,crotalaria filicaulis welw. ex baker,18,3,1997,77
schmidt 2454,crotalaria,crotalaria flavicarinata,crotalaria flavicarinata baker f.,5,3,1997,64
2454,crotalaria,crotalaria flavicarinata,crotalaria flavicarinata,5,3,1997,64
mhoro bm 2718,crotalaria,crotalaria goodiiformis,crotalaria goodiiformis vatke,26,6,1979,177
mboya 366,crotalaria,crotalaria hyssopifolia,crotalaria hyssopifolia klotzsch,19,6,2001,170
kuchar 24071,crotalaria,crotalaria iringana,crotalaria iringana harms,8,8,2001,220
mboya 273,crotalaria,crotalaria karagwensis,crotalaria karagwensis taub.,12,6,2001,163
"kayombo, cj; ayubu, j; kibure, oa  6789",crotalaria,crotalaria laburnifolia,crotalaria laburnifolia l.,10,8,2010,222
kindeketa 1075,crotalaria,crotalaria laburnifolia,crotalaria laburnifolia subsp. laburnifolia,13,6,2001,164
bjørnstad ab 1536,crotalaria,crotalaria laburnifolia,crotalaria laburnifolia l.,11,3,1972,71
mollel 617,crotalaria,crotalaria laburnifolia,crotalaria laburnifolia subsp. laburnifolia,13,6,2001,164
rodgers 2633,crotalaria,crotalaria laburnifolia,crotalaria laburnifolia subsp. laburnifolia,5,8,1975,217
kuchar 22406,crotalaria,crotalaria lachnocarpoides,crotalaria lachnocarpoides engl.,21,8,1999,233
gereau 5008,crotalaria,crotalaria lachnocarpoides,crotalaria lachnocarpoides engl.,3,11,1992,308
nkhoma 262,crotalaria,crotalaria lachnophora,crotalaria lachnophora hochst. ex a. rich.,24,5,1994,144
zimba 1050,crotalaria,crotalaria lanceolata,crotalaria lanceolata subsp. prognatha polhill,8,3,1997,67
2117,crotalaria,crotalaria morumbensis,crotalaria morumbensis baker f.,11,5,1963,131
1642,crotalaria,crotalaria morumbensis,crotalaria morumbensis baker f.,23,4,1972,114
8614,crotalaria,crotalaria morumbensis,crotalaria morumbensis baker f.,29,4,1964,120
festo 1965,crotalaria,crotalaria natalita,crotalaria natalitia var. rutshuruensis de wild.,8,6,2005,159
kibure 889,crotalaria,crotalaria natalita,crotalaria natalitia var. natalitia,24,4,2003,114
gereau 5105,crotalaria,crotalaria nudiflora,crotalaria nudiflora polhill,22,11,1992,327
harder 3528,crotalaria,crotalaria ochroleuca,crotalaria ochroleuca g. don,25,2,1996,56
"harder, dk; bingham, mg  3528",crotalaria,crotalaria ochroleuca,crotalaria ochroleuca g.don,25,2,1996,56
harder 3932,crotalaria,crotalaria pallidicaulis,crotalaria pallidicaulis harms,2,3,1997,61
kuchar 24049,crotalaria,crotalaria podocarpa,crotalaria podocarpa dc.,8,8,2001,220
,crotalaria,crotalaria polysperma,crotalaria polysperma,8,8,1993,220
harder 3595,crotalaria,crotalaria praetexta,crotalaria praetexta polhill,28,2,1996,59
kuchar 24567,crotalaria,crotalaria reptans,crotalaria reptans taub.,12,5,2001,132
kuchar 24344,crotalaria,crotalaria rogersii,crotalaria rogersii baker f.,7,4,2001,97
1358,crotalaria,crotalaria rogersii,crotalaria rogersii,14,5,1994,134
harder 3538,crotalaria,crotalaria shirensis,crotalaria shirensis (baker f.) milne-redh.,25,2,1996,56
"harder, dk; gereau, re; kayombo, mj  1279",crotalaria,crotalaria sparsifolia,crotalaria sparsifolia baker,28,10,1992,302
bingham 3769,crotalaria,crotalaria subcapitata,crotalaria subcapitata var. subcapitata,5,8,1981,217
harder 3109,crotalaria,crotalaria subcapitata,crotalaria subcapitata subsp. subcapitata,13,5,1994,133
3045,crotalaria,crotalaria teretifolia,crotalaria teretifolia milne-redh.,15,4,1989,105
3130,crotalaria,crotalaria teretifolia,crotalaria teretifolia milne-redh.,13,5,1969,133
kuchar 24767,croton,croton,croton l.,2,9,2001,245
kuchar 22753,croton,croton,croton l.,22,1,2000,22
,croton,croton macrostachyus,croton macrostachyus,23,5,1987,143
kuchar 22831,croton,croton polytrichus,croton polytrichus pax,27,1,2000,27
kuchar 23602,croton,croton polytrichus,croton polytrichus pax,30,4,2000,121
harder 2158,croton,croton polytrichus,croton polytrichus subsp. brachystachyus radcl.-sm.,25,11,1993,329
kayombo 5049,croton,croton scheffleri,croton scheffleri pax,29,10,2005,302
22802,croton,croton scheffleri,croton scheffleri,27,1,2000,27
kuchar 22802,croton,croton scheffleri,croton scheffleri pax,27,1,2000,27
"harder, dk; bingham, mg  2542",cryptolepis,cryptolepis,ectadiopsis  benth.,31,1,1995,31
"nkhoma, cn; harder, dk; schmidt, hh; luwiika, b  294",cryptolepis,cryptolepis,ectadiopsis  benth.,25,5,1994,145
,cryptolepis,cryptolepis apiculata,cryptolepis apiculata,3,2,1993,34
11609,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,9,11,2006,313
,cryptolepis,cryptolepis oblongifolia,ectadiopsis oblongifolia,26,3,1989,85
harder 2542,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,8,8,1995,220
gereau 7003,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,23,1,2008,23
harder 1281,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,28,10,1992,302
nkhoma 294,cryptolepis,cryptolepis oblongifolia,cryptolepis oblongifolia (meisn.) schltr.,25,5,1994,145
nkhoma 88,cryptosepalum,cryptosepalum exfoliatum,cryptosepalum exfoliatum subsp. exfoliatum,1,12,1993,335
harder 2179,cryptosepalum,cryptosepalum exfoliatum,cryptosepalum exfoliatum subsp. exfoliatum,29,11,1993,333
harder 1989,cryptosepalum,cryptosepalum maraviense,cryptosepalum maraviense oliv.,19,11,1993,323
harder 1273,cryptosepalum,cryptosepalum maraviense,cryptosepalum maraviense oliv.,28,10,1992,302
harder 1377,cryptosepalum,cryptosepalum maraviense,cryptosepalum maraviense oliv.,2,11,1992,307
"breteler, fj  11862",cryptosepalum,cryptosepalum maraviense,cryptosepalum maraviense oliv.,18,11,1992,323
"newbould, jgb; harley, rm  9004",cryptosepalum,cryptosepalum maraviense,cryptosepalum maraviense oliv.,17,7,1959,198
mwangoka 3977,cryptosepalum,cryptosepalum tetraphyllum,cryptosepalum benth.,7,8,2005,219
kuchar 22939,cryptostephanus,cryptostephanus haemanthoides,cryptostephanus haemanthoides pax,30,1,2000,30
kuchar 22620,cryptostephanus,cryptostephanus haemanthoides,cryptostephanus haemanthoides pax,17,12,1999,351
kuchar 24861,cucumis,cucumis aculeatus,cucumis aculeatus cogn.,22,9,2001,265
harder 3983,cucumis,cucumis anguria,cucumis anguria l.,9,3,1997,68
laizer 1225,cucumis,cucumis anguria,cucumis anguria l.,1,6,2005,152
bodine 181,cucumis,cucumis hirsutus,cucumis hirsutus sond.,18,2,2006,49
nkhoma 243,cucumis,cucumis hirsutus,cucumis hirsutus sond.,24,5,1994,144
bodine 140,cucumis,cucumis melo,cucumis melo l.,7,6,2005,158
gereau 7037,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,27,1,2008,27
"gereau, re; kayombo, cj; mwangoka, ma  6086",cussonia,cussonia arborea,cussonia arborea hochst. ex a.rich.,28,12,1997,362
kuchar 23125,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,27,2,2000,58
kindeketa 1176,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,20,6,2001,171
mwangoka 6273,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,4,7,2009,185
gereau 6086,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,28,12,1997,362
gereau 4980,cussonia,cussonia arborea,cussonia arborea hochst. ex a. rich.,3,11,1992,308
"gereau, re; kayombo, cj; mwangoka, ma  6086",cussonia,cussonia arborea,cussonia arborea hochst. ex a.rich.,28,12,1997,362
4933,cussonia,cussonia arborea,cussonia arborea a. rich.,30,11,2006,334
kuchar 24799,cussonia,cussonia holstii,cussonia holstii harms ex engl.,8,9,2001,251
laizer 1361,cuviera,cuviera schliebenii,cuviera schliebenii verdc.,3,11,2005,307
kindeketa 2669,cuviera,cuviera tomentosa,cuviera tomentosa verdc.,15,11,2005,319
kuchar 22794,cyanotis,cyanotis foecunda,cyanotis foecunda hassk.,27,1,2000,27
kuchar 25151,cyanotis,cyanotis foecunda,cyanotis foecunda hassk.,3,3,2002,62
harder 2531,cyanotis,cyanotis foecunda,cyanotis foecunda hassk.,8,8,1995,220
kuchar 23637,cyanotis,cyanotis foecunda,cyanotis foecunda hassk.,30,4,2000,121
,cyanotis,cyanotis lanata,cyanotis lanata,26,3,1989,85
zimba 1084,cyanotis,cyanotis longifolia,cyanotis longifolia benth.,8,3,1997,67
"harder, dk; merello, mc; nkhoma, cn  2222",cyanotis,cyanotis longifolia,cyanotis longifolia benth.,9,12,1993,343
harder 2532,cyanotis,cyanotis longifolia,cyanotis longifolia benth.,8,8,1995,220
harder 2222,cyanotis,cyanotis longifolia,cyanotis longifolia benth.,9,12,1993,343
de nevers 3216,cyanthillium,cyanthillium cinereum,cyanthillium cinereum (l.) h. rob.,8,4,1984,99
beeson 387,cyathea,cyathea schliebenii,cyathea schliebenii reimers,1,3,1981,60
kindeketa 1272,cyathula,cyathula cylindrica,cyathula cylindrica moq.,4,7,2001,185
kuchar 24776,cyathula,cyathula cylindrica,cyathula cylindrica moq.,2,9,2001,245
24776,cyathula,cyathula cylindrica,cyathula cylindrica,2,9,2001,245
kuchar 22902,cyathula,cyathula cylindrica,cyathula cylindrica moq.,30,1,2000,30
mollel 722,cyathula,cyathula orthacantha,cyathula orthacantha (hochst. ex asch.) schinz,16,12,2001,350
laizer 1249,cyathula,cyathula prostrata,cyathula blume,1,6,2005,152
festo 1981,cyathula,cyathula prostrata,cyathula blume,8,6,2005,159
mboya 392,cycnium,cycnium recurvum,cycnium recurvum (oliv.) engl.,20,6,2001,171
mboya 338,cycnium,cycnium tubulosum,cycnium tubulosum (l. f.) engl.,19,6,2001,170
schmidt 2436,cycnium,cycnium tubulosum,cycnium tubulosum subsp. tubulosum,5,3,1997,64
,cymbopogon,cymbopogon,cymbopogon,,,,
harder 3536,cymbopogon,cymbopogon caesius,cymbopogon excavatus (hochst.) stapf ex burtt davy,25,2,1996,56
bingham 3762,cymbopogon,cymbopogon densiflorus,cymbopogon densiflorus (steud.) stapf,5,8,1981,217
gereau 4300,cymbopogon,cymbopogon nardus,cymbopogon nardus (l.) rendle,14,3,1991,73
1247,cynoglossum,cynoglossum,cynoglossum,1,6,2005,152
"kayombo, cj; ayubu, j; kibure, oa  6784",cynoglossum,cynoglossum,cynoglossum  l.,10,8,2010,222
gereau 4377,cynoglossum,cynoglossum lanceolatum,cynoglossum lanceolatum forssk.,19,3,1991,78
smith 246,cynoglossum,cynoglossum officinale,cynoglossum l.,16,2,1994,47
bingham 9978,cynoglossum,cynoglossum officinale,cynoglossum l.,4,2,1994,35
laizer 1247,cynoglossum,cynoglossum officinale,cynoglossum l.,1,6,2005,152
metele 164,cyperus,cyperus alternifolius,cyperus alternifolius l.,30,10,1998,303
kindeketa 909,cyperus,cyperus amabilis,cyperus amabilis vahl,25,5,2001,145
mollel 699,cyperus,cyperus amabilis,cyperus amabilis vahl,15,12,2001,349
kindeketa 1151,cyperus,cyperus amabilis,cyperus amabilis vahl,18,6,2001,169
"kornás, jk  808",cyperus,cyperus amabilis,cyperus amabilis vahl,7,1,1972,7
mboya 260,cyperus,cyperus assimilis,cyperus assimilis steud.,12,6,2001,163
53,cyperus,cyperus corymbosus,cyperus corymbosus,,,,
laizer 1252,cyperus,cyperus cyperoides,cyperus cyperoides (l.) kuntze,1,6,2005,152
bodine 180,cyperus,cyperus cyperoides,cyperus cyperoides (l.) kuntze,18,2,2006,49
mboya 300,cyperus,cyperus difformis,cyperus difformis l.,12,6,2001,163
,cyperus,cyperus glaucophyllus,cyperus pseudoleptocladus,15,3,1985,74
gereau 5147,cyperus,cyperus involucratus,cyperus involucratus rottb.,23,11,1992,328
mwangoka 3099,cyperus,cyperus involucratus,cyperus involucratus rottb.,29,7,2004,211
harder 2541,cyperus,cyperus margaritaceus,cyperus margaritaceus vahl,8,8,1995,220
gereau 1500,cyperus,cyperus mollipes,cyperus macropus boeckeler,17,12,1984,352
gereau 4359,cyperus,cyperus mollipes,cyperus mollipes (c.b. clarke) k. schum.,19,3,1991,78
"gereau, re; kayombo, cj  3895",cyperus,cyperus mollipes,cyperus globifer (c.b.clarke) lye,6,2,1991,37
"gereau, re; kayombo, cj  4359",cyperus,cyperus mollipes,cyperus globifer (c.b.clarke) lye,19,3,1991,78
gereau 3895,cyperus,cyperus mollipes,cyperus mollipes (c.b. clarke) k. schum.,6,2,1991,37
harder 1987,cyperus,cyperus nduru,cyperus nduru cherm.,19,11,1993,323
harder 1986,cyperus,cyperus nduru,cyperus nduru cherm.,19,11,1993,323
schmidt 1180,cyperus,cyperus niveus tisserantii,cyperus tisserantii cherm.,14,11,1993,318
,cyperus,cyperus pseudokyllingioides,courtoisina cyperoides,29,3,2000,89
renvoize 5706,cyperus,cyperus pseudokyllingioides,courtoisia cyperoides (roxb.) nees,27,2,1996,58
gereau 1499,cyperus,cyperus pulchellus,cyperus pulchellus r. br.,17,12,1984,352
harder 3114,cyperus,cyperus renschii,cyperus renschii boeckeler,13,5,1994,133
5320,cyperus,cyperus simpsonii,kyllingiella simpsonii muasya,28,1,1969,28
11650,cyphostemma,cyphostemma adenocaule adenocaule,cyphostemma adenocaule,15,11,2006,319
,cyphostemma,cyphostemma buchananii,cyphostemma buchananii,26,3,1989,85
,cyphostemma,cyphostemma buchananii,cyphostemma buchananii,26,3,1989,85
ab 698,cyphostemma,cyphostemma crotalarioides,cissus crotalarioides,23,11,1970,327
gereau 3834,cyphostemma,cyphostemma crotalarioides,cyphostemma crotalarioides (planch.) desc. ex wild & r.b. drumm.,3,2,1991,34
kuchar 24993,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,26,12,2001,360
kuchar 25221,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,17,3,2002,76
kuchar 25156,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,3,3,2002,62
kuchar 24342,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,7,4,2001,97
kuchar 23848,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,4,6,2000,156
kuchar 24069a,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,8,8,2001,220
mboya 299,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,12,6,2001,163
kuchar 22769,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,22,1,2000,22
kuchar 25125,cyphostemma,cyphostemma cyphopetalum cyphopetalum,cyphostemma cyphopetalum (fresen.) desc. ex wild & r.b. drumm.,27,2,2002,58
mollel 805,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,24,12,2001,358
kuchar 25009,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,9,1,2002,9
gereau 3562,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,12,1,1991,12
harder 3933,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,2,3,1997,61
kuchar 24994,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,26,12,2001,360
kuchar 24997,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,9,1,2002,9
zimba 1087,cyphostemma,cyphostemma gigantophyllum,cyphostemma gigantophyllum (gilg & m. brandt) desc. ex wild & r.b. drumm.,8,3,1997,67
gereau 6986,cyphostemma,cyphostemma heterotrichum,cyphostemma heterotrichum (gilg & r.e. fr.) desc. ex wild & r.b. drumm.,23,1,2008,23
11617,cyphostemma,cyphostemma heterotrichum,cyphostemma heterotrichum,9,11,2006,313
,cyphostemma,cyphostemma hildebrandtii,cyphostemma hildebrandtii,26,3,1989,85
11615,cyphostemma,cyphostemma junceum,cyphostemma junceum,9,11,2006,313
schmidt 1142,cyphostemma,cyphostemma junceum,cyphostemma junceum (webb) desc. ex wild & r.b. drumm.,9,11,1993,313
gereau 4983,cyphostemma,cyphostemma junceum,cyphostemma junceum (webb) desc. ex wild & r.b. drumm.,3,11,1992,308
smith 232,cyphostemma,cyphostemma junceum,cyphostemma junceum (webb) desc. ex wild & r.b. drumm.,16,2,1994,47
"strid, pak  2918",cyphostemma,cyphostemma kirkianum,cyphostemma kirkianum (planch.) desc. ex wild & r.b.drumm.,9,2,1973,40
kuchar 22615,cyphostemma,cyphostemma knittelii,cyphostemma knittelii (gilg) desc.,17,12,1999,351
smith 112,cyphostemma,cyphostemma lynesii,cyphostemma lynesii (dewit) desc. ex wild & r.b. drumm.,26,1,1994,26
kuchar 25016,cyphostemma,cyphostemma pachyanthum,cyphostemma pachyanthum (gilg & m. brandt) desc.,9,1,2002,9
kuchar 22943,cyphostemma,cyphostemma pseudosesquipedale,cyphostemma pseudosesquipedale verdc.,30,1,2000,30
schmidt 1172,cyphostemma,cyphostemma rhodesiae,cyphostemma rhodesiae (gilg & m. brandt) desc. ex wild & r.b. drumm.,13,11,1993,317
strid 2239,cyphostemma,cyphostemma rhodesiae,cyphostemma rhodesiae (gilg & m. brandt) desc. ex wild & r.b. drumm.,30,9,1972,274
harder 1294,cyphostemma,cyphostemma septemfoliatum,cyphostemma septemfoliatum wild & r.b. drumm.,28,10,1992,302
"harder, dk; gereau, re; kayombo, cj; kayombo, mj  1294",cyphostemma,cyphostemma septemfoliatum,cyphostemma septemfoliolatum wild & r.b.drumm.,28,10,1992,302
kindeketa 1392,cyphostemma,cyphostemma serpens,cyphostemma serpens (hochst. ex a. rich.) desc.,8,12,2001,342
ab 2217,cyphostemma,cyphostemma simplicifolium,cyphostemma simplicifolium a. bjørnstad,20,12,1972,355
11642,cyphostemma,cyphostemma vanmeelii,cyphostemma vanmeelii,14,11,2006,318
"bingham, mg; bingham, pe  10813",cyphostemma,cyphostemma viscosum,cyphostemma viscosum (gilg & r.e.fr.) desc. ex wild & r.b.drumm.,11,1,1996,11
"strid, pak  2513",cyphostemma,cyphostemma wittei,cyphostemma hermannioides wild & r.b.drumm.,20,11,1972,325
harder 1307,cyrtanthus,cyrtanthus breviflorus,cyrtanthus breviflorus harv.,29,10,1992,303
"kayombo, cj; wimbe, e  7235",cyrtorchis,cyrtorchis praetermissa,cyrtorchis praetermissa summerh.,5,9,2011,248
harder 2120,cystorchis,cystorchis praetermissa,cystorchis praetermissa schltr.,25,11,1993,329
ezrom 211,dactyladenia,dactyladenia floribunda,dactyladenia welw.,15,11,2005,319
juma 27,dactyloctenium,dactyloctenium australe,dactyloctenium australe steud.,3,8,2003,215
kuchar 24863,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,22,9,2001,265
kuchar 22698,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,18,12,1999,352
kuchar 25004,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,9,1,2002,9
kindeketa 1398,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,8,12,2001,342
kuchar 22499,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,26,9,1999,269
kuchar 23765,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,21,5,2000,142
kuchar 24961,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,17,11,2001,321
kuchar 23007,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. aberrans polhill,21,2,2000,52
5037,dalbergia,dalbergia arbutifolia,dalbergia arbutifolia subsp. arbutifolia,29,10,1998,302
mollel 690,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. stuhlmannii (taub.) polhill,15,12,2001,349
kindeketa 946,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. stuhlmannii (taub.) polhill,10,6,2001,161
laizer 1347,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. boehmii,3,11,2005,307
kuchar 24944,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. stuhlmannii (taub.) polhill,3,11,2001,307
kuchar 24956,dalbergia,dalbergia boehmii,dalbergia boehmii subsp. stuhlmannii (taub.) polhill,10,11,2001,314
