gbif:canonicalName,FAMILY,dwc:genus,species,dwc:specificEpithet,Day,Month,Year,Day of the year
lepisanthes senegalensis,,lepisanthes,lepisanthes senegalensis,senegalensis,26,2,1873,220
lepisanthes senegalensis,,lepisanthes,lepisanthes senegalensis,senegalensis,,,,
lepisanthes senegalensis,,lepisanthes,lepisanthes senegalensis,senegalensis,,,,115
lepisanthes senegalensis,,lepisanthes,lepisanthes senegalensis,senegalensis,,,,
lepisanthes senegalensis,,lepisanthes,lepisanthes senegalensis,senegalensis,,,,
lepisanthes senegalensis,,lepisanthes,lepisanthes senegalensis,senegalensis,,,,
lepisanthes simplicifolia,,lepisanthes,lepisanthes simplicifolia (thwaites) leenh.,simplicifolia,,,,
lepisorus contortus,,lepisorus,lepisorus contortus (christ) ching,contortus,,,,
lepisorus longifolius,,lepisorus,lepisorus longifolius (blume) holttum,longifolius,31,12,1977,365
lepisorus loriformis,,lepisorus,lepisorus loriformis (mett. ex wall.) ching,loriformis,,,,
lepisorus nudus,,lepisorus,lepisorus nudus (hook.) ching,nudus,12,4,1802,102
leptadenia pyrotechnica,,leptadenia,leptadenia spartum wight,pyrotechnica,,,,
leptochilus,,leptochilus,leptochilus  kaulf.,,5,6,1999,156
leptochilus axillaris,,leptochilus,leptochilus axillaris,axillaris,,,,
,,leptolobium,leptolobium nitens vogel,nitens,,,,327
justicia wallichii,,justicia,leptostachya wallichii nees,wallichii,10,12,1871,344
leucas aspera,,leucas,leucas aspera (willd.) link,aspera,15,3,1973,130
leucas aspera,,leucas,leucas aspera (willd.) link,aspera,10,5,1997,74
leucas biflora,,leucas,leucas biflora r.br.,biflora,,,,
leucas biflora,,leucas,leucas biflora r.br.,biflora,,,,
leucas cephalotes,,leucas,leucas cephalotes,cephalotes,12,7,1992,194
,,leucas,leucas ciliata,ciliata,,,,91
,,leucas,leucas linifolia,linifolia,10,7,1992,
,,leucas,leucas linifolia,linifolia,,,,229
leucas decemdentata decemdentata,,leucas,leucas mollissima wall.,decemdentata,,,,
leucas biflora,,leucas,leucas procumbens,biflora,16,2,1897,47
leucas zeylanica,,leucas,leucas zeylanica,zeylanica,15,8,1992,228
licuala peltata,,licuala,licuala peltata roxb.,peltata,,,,
ligustrum,,ligustrum,ligustrum  l.,,5,8,1976,218
ligustrum,,ligustrum,ligustrum  l.,,21,6,1979,172
,,limacia,limacia cuspidata hook.f. & thomson,cuspidata,,,,102
,,limacia,limacia cuspidata hook.f. & thomson,cuspidata,,,,219
limnophila aromatica,,limnophila,limnophila aromatica,aromatica,30,12,1875,364
,,limnophila,limnophila chinensis,chinensis,,,,
lindenbergia philippensis,,lindenbergia,lindenbergia philippensis,philippensis,12,2,1873,43
lindera hamiltonii,,lindera,lindera hamiltonii kosterm.,hamiltonii,,,,
lindera hamiltonii,,lindera,lindera hamiltonii kosterm.,hamiltonii,,,,
lindera melastomacea,,lindera,lindera melastomacea fern.-vill.,melastomacea,,,,
lindera nacusua,,lindera,lindera nacusua (d.don) merr.,nacusua,,,,
vandellia anagallis,,vandellia,lindernia anagallis (burm.f.) pennell,anagallis,,,,
vandellia anagallis,,vandellia,lindernia anagallis (burm.f.) pennell,anagallis,,,,
vandellia anagallis,,vandellia,lindernia anagallis (burm.f.) pennell,anagallis,,,,
lindernia reptans,,lindernia,lindernia crustacea,reptans,31,7,1992,228
lindernia reptans,,lindernia,lindernia crustacea,reptans,15,8,1992,242
lindernia reptans,,lindernia,lindernia crustacea,reptans,30,8,1871,213
craterostigma nummulariifolium,,craterostigma,lindernia sessiliflora wettst.,nummulariifolium,29,10,1883,302
lindsaea ensifolia,,lindsaea,lindsaea ensifolia,ensifolia,25,11,1971,329
lindsaea ensifolia,,lindsaea,lindsaea ensifolia,ensifolia,,,,
lindsaea ensifolia,,lindsaea,lindsaea ensifolia,ensifolia,,,,
lindsaea lucida,,lindsaea,lindsaea lucida,lucida,,,,
,,linociera,linociera macrophylla wall.,macrophylla,,,,116
linostoma decandrum,,linostoma,linostoma decandrum,decandrum,,,,
linostoma decandrum,,linostoma,linostoma decandrum,decandrum,,,,
linostoma decandrum,,linostoma,linostoma decandrum (roxb.) wall. ex meisn.,decandrum,,,,
linostoma decandrum,,linostoma,linostoma decandrum (roxb.) wall. ex meisn.,decandrum,,,,
reinwardtia cicanoba,,reinwardtia,linum tetragynum colebr.,cicanoba,,,,
linum usitatissimum,,linum,linum usitatissimum l.,usitatissimum,,,,
lippia alba,,lippia,lippia geminata kunth,alba,14,3,1979,73
,,lippia,lippia javanica (burm.f.) spreng.,javanica,5,5,1994,155
litchi chinensis,,litchi,litchi chinensis,chinensis,23,2,1945,54
lithocarpus,,lithocarpus,lithocarpus  blume,,25,4,1994,115
lithocarpus,,lithocarpus,lithocarpus  blume,,4,4,1997,94
lithocarpus chittagonga,,lithocarpus,lithocarpus chittagonga (king) merr.,chittagonga,,,,
lithocarpus chittagonga,,lithocarpus,lithocarpus chittagonga (king) merr.,chittagonga,,,,
lithocarpus dealbatus,,lithocarpus,lithocarpus dealbatus (hook. f. & thomson ex miq.) rehder,dealbatus,,,,
lithocarpus dealbatus,,lithocarpus,lithocarpus dealbatus (hook.f. & thomson ex miq.) rehder,dealbatus,,,,
lithocarpus elegans,,lithocarpus,lithocarpus elegans,elegans,,,,1
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,1,1,1831,
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,1,1,1886,121
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,1,1,1886,
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,1,2,1886,
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,1,5,1887,32
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,,,,
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,,,,
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,,,,1
lithocarpus elegans,,lithocarpus,lithocarpus grandifolius,elegans,,,,1
,,litsea,litsea citrata blume,citrata,,,,111
litsea cubeba,,litsea,litsea cubeba (lour.) pers.,cubeba,,,,
litsea cubeba,,litsea,litsea cubeba (lour.) pers.,cubeba,,,,
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,27,5,1868,147
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,19,5,1872,
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,22,4,1886,112
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,22,4,1887,112
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,,,,148
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,27,5,1999,
litsea glutinosa,,litsea,litsea glutinosa,glutinosa,,,,140
litsea laeta,,litsea,litsea laeta (nees) hook.f.,laeta,,,,
litsea laeta,,litsea,litsea laeta (nees) hook.f.,laeta,,,,
litsea laeta,,litsea,litsea laeta (wall. ex nees) hook.f.,laeta,,,,
litsea laeta,,litsea,litsea laeta (wall.) benth. & hook. f.,laeta,,,,
litsea laeta,,litsea,litsea laeta benth. & hook.f.,laeta,,,,
,,litsea,litsea lancifolia (roxb. ex nees) benth. & hook.f. ex fern.-vill.,lancifolia,,,,128
,,litsea,litsea lancifolia (roxb.) hook.f.,lancifolia,24,4,1997,233
litsea monopetala,,litsea,litsea monopetala,monopetala,10,4,1868,
litsea monopetala,,litsea,litsea monopetala,monopetala,1,3,1873,
litsea monopetala,,litsea,litsea monopetala,monopetala,22,4,1887,124
litsea monopetala,,litsea,litsea monopetala,monopetala,3,5,1876,
litsea monopetala,,litsea,litsea monopetala,monopetala,,,,101
litsea monopetala,,litsea,litsea monopetala,monopetala,,,,
litsea monopetala,,litsea,litsea monopetala,monopetala,,,,112
litsea monopetala,,litsea,litsea monopetala,monopetala,,,,60
,,litsea,litsea nitida (roxb.) hook.f.,nitida,,,,161
litsea albescens,,litsea,litsea oblonga nees,albescens,,,,
litsea albescens,,litsea,litsea oblonga nees,albescens,,,,
litsea panamanja,,litsea,litsea panamanja (nees) hook.f.,panamanja,,,,
,,litsea,litsea polyantha juss.,polyantha,22,4,1994,39
,,litsea,litsea polyantha juss.,polyantha,,,,107
,,litsea,litsea salicifolia (roxb. ex nees) hook.f.,salicifolia,9,8,1876,19
,,litsea,litsea salicifolia (roxb. ex nees) hook.f.,salicifolia,,,,138
,,litsea,litsea salicifolia (roxb. ex nees) hook.f.,salicifolia,,,,153
,,litsea,litsea salicifolia (roxb. ex nees) hook.f.,salicifolia,,,,153
,,litsea,litsea salicifolia (roxb.) hook.f.,salicifolia,18,4,1994,260
,,litsea,litsea sp.,sp.,1,4,1989,199
,,litsea,litsea sp.,sp.,6,8,1992,145
litsea thomsonii,,litsea,litsea thomsonii hook.f.,thomsonii,5,12,1850,339
litsea thomsonii,,litsea,litsea thomsonii hook.f.,thomsonii,,,,
lobelia alsinoides,,lobelia,lobelia alsinoides lam.,alsinoides,20,11,1868,325
lobelia nicotianifolia,,lobelia,lobelia pyramidalis wall.,nicotianifolia,,,,
loeseneriella africana,,loeseneriella,loeseneriella africana (willd.) r. wilczek ex n. hallé,africana,,,,
lophopogon kingii,,lophopogon,lophopogon kingii hook.f.,kingii,,,,
lophopogon kingii,,lophopogon,lophopogon kingii hook.f.,kingii,,,,
macrosolen cochinchinensis,,macrosolen,loranthus ampullaceus,cochinchinensis,6,8,1992,
macrosolen cochinchinensis,,macrosolen,loranthus ampullaceus,cochinchinensis,,,,203
luculia pinceana,,luculia,luculia pinceana hook.,pinceana,,,,
luculia pinceana,,luculia,luculia pinceana hook.,pinceana,,,,
ludwigia,,ludwigia,ludwigia  l.,,15,3,1979,74
ludwigia adscendens,,ludwigia,ludwigia adscendens,adscendens,,,,
ludwigia hyssopifolia,,ludwigia,ludwigia hyssopifolia,hyssopifolia,12,7,1992,194
luffa acutangula,,luffa,luffa acutangula (l.) roxb.,acutangula,,,,
luffa acutangula,,luffa,luffa gosa buch.-ham.,acutangula,,,,
luffa cylindrica,,luffa,luffa pentandra roxb.,cylindrica,,,,
luisia brachystachys,,luisia,luisia brachystachys blume,brachystachys,,,,
lycopodiella inundata,,lycopodiella,lycopodiella cernua,inundata,6,8,1992,228
lycopodiella inundata,,lycopodiella,lycopodiella cernua,inundata,15,8,1992,219
palhinhaea cernua,,palhinhaea,lycopodium cernuum,cernua,21,4,1994,111
palhinhaea cernua,,palhinhaea,lycopodium cernuum l.,cernua,21,4,1994,111
palhinhaea cernua,,palhinhaea,lycopodium cernuum l.,cernua,21,4,1994,111
lygodium flexnosum,,lygodium,lygodium flexuosum,flexnosum,5,4,1944,199
lygodium flexnosum,,lygodium,lygodium flexuosum,flexnosum,17,7,1992,199
lygodium flexnosum,,lygodium,lygodium flexuosum,flexnosum,17,7,1992,96
lygodium japonicum,,lygodium,lygodium japonicum,japonicum,31,5,1944,221
lygodium japonicum,,lygodium,lygodium japonicum,japonicum,27,7,1944,200
lygodium japonicum,,lygodium,lygodium japonicum,japonicum,18,7,1992,152
lygodium japonicum,,lygodium,lygodium japonicum,japonicum,7,9,1872,251
lygodium japonicum,,lygodium,lygodium japonicum,japonicum,8,8,1880,209
lysimachia decurrens,,lysimachia,lysimachia multiflora wall.,decurrens,,,,
lysimachia decurrens,,lysimachia,lysimachia multiflora wall.,decurrens,,,,
lysimachia ramosa,,lysimachia,lysimachia ramosa wall.,ramosa,,,,
macaranga,,macaranga,macaranga,,1,4,1997,91
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,6,8,1992,221
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,8,8,1876,
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,8,8,1886,91
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,8,8,1887,
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,10,6,1967,220
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,1,4,1997,220
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,,,,161
macaranga denticulata,,macaranga,macaranga denticulata,denticulata,,,,219
macaranga peltata,,macaranga,macaranga peltata,peltata,6,8,1992,107
macaranga peltata,,macaranga,macaranga peltata,peltata,15,8,1992,228
,,,macaranga peltata,,17,4,1994,160
macaranga peltata,,macaranga,macaranga peltata (roxb.) müll.arg.,peltata,17,4,1994,219
machilus macranthus,,machilus,machilus glaucescens (nees) wight,macranthus,9,8,1876,222
machilus macranthus,,machilus,machilus glaucescens (nees) wight,macranthus,,,,
machilus macranthus,,machilus,machilus glaucescens (nees) wight,macranthus,,,,
macropanax undulatus,,macropanax,macropanax undulatus seem.,undulatus,,,,
macrosolen cochinchinensis,,macrosolen,macrosolen ampullaceus (roxb.) tiegh.,cochinchinensis,,,,182
macrosolen cochinchinensis,,macrosolen,macrosolen cochinchinensis (lour.) tiegh.,cochinchinensis,,,,
macrosolen globosus,,macrosolen,macrosolen globosus (roxb.) tiegh.,globosus,4,9,1871,247
macrothelypteris torresiana,,macrothelypteris,macrothelypteris torresiana (gaudich.) ching,torresiana,,,,
madhuca longifolia latifolia,,madhuca,madhuca latifolia,longifolia,17,7,1992,199
madhuca longifolia,,madhuca,madhuca longifolia,longifolia,17,7,1992,199
maesa,,maesa,maesa  forssk.,,29,10,1978,302
,,maesa,maesa indica,indica,8,12,1944,192
,,maesa,maesa indica,indica,15,1,1945,229
,,maesa,maesa indica,indica,22,2,1945,219
,,maesa,maesa indica,indica,12,4,1994,137
,,maesa,maesa indica,indica,1,4,1997,92
,,maesa,maesa indica,indica,12,4,1994,153
maesa ramentacea,,maesa,maesa ramentacea,ramentacea,26,2,1945,72
maesa ramentacea,,maesa,maesa ramentacea,ramentacea,1,3,1945,60
maesa ramentacea,,maesa,maesa ramentacea,ramentacea,13,3,1945,
maesa ramentacea,,maesa,maesa ramentacea,ramentacea,,,,57
maesa ramentacea,,maesa,maesa ramentacea (roxb.) a.dc.,ramentacea,,,,
magnolia caveana,,magnolia,magnolia caveana (hook.f. & thomson) d.c.s.raju & m.p.nayar,caveana,,,,
magnolia caveana,,magnolia,magnolia caveana (hook.f. & thomson) d.c.s.raju & m.p.nayar,caveana,,,,
magnolia griffithii,,magnolia,magnolia griffithii hook.f. & thomson,griffithii,8,1,1826,8
magnolia mannii,,magnolia,magnolia mannii,mannii,,,,
magnolia mannii,,magnolia,magnolia mannii,mannii,,,,
magnolia pterocarpa,,magnolia,magnolia pterocarpa,pterocarpa,,,,
magnolia pterocarpa,,magnolia,magnolia pterocarpa roxb.,pterocarpa,9,8,1829,221
magnolia pterocarpa,,magnolia,magnolia pterocarpa roxb.,pterocarpa,,,,
magnolia punduana,,magnolia,magnolia punduana wall.,punduana,,,,
magnolia pterocarpa,,magnolia,magnolia sphenocarpa roxb.,pterocarpa,,,,
mallotus decipiens,,mallotus,mallotus decipiens müll.arg.,decipiens,24,4,1997,155
mallotus decipiens,,mallotus,mallotus decipiens müll.arg.,decipiens,4,6,1999,114
mallotus nudiflorus,,mallotus,mallotus nudiflorus (l.) kulju & welzen,nudiflorus,29,4,1997,
mallotus nudiflorus,,mallotus,mallotus nudiflorus (l.) kulju & welzen,nudiflorus,,,,119
mallotus paniculatus,,mallotus,mallotus paniculatus,paniculatus,11,12,1885,220
mallotus paniculatus,,mallotus,mallotus paniculatus,paniculatus,8,8,1886,220
mallotus paniculatus,,mallotus,mallotus paniculatus,paniculatus,8,8,1887,345
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,12,10,1988,200
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,17,7,1992,220
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,18,7,1992,1
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,13,4,1997,199
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,25,6,1872,177
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,1,1,1886,
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,8,8,1886,
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,1,1,1887,
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,13,4,1997,286
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,,,,1
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,,,,
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,,,,
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,,,,
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,,,,103
mallotus philippensis,,mallotus,mallotus philippensis,philippensis,,,,103
mallotus repandus,,mallotus,mallotus repandus,repandus,,,,
mallotus repandus,,mallotus,mallotus repandus (rottler) müll.arg.,repandus,,,,
mallotus repandus,,mallotus,mallotus repandus (rottler) müll.arg.,repandus,,,,
mallotus roxburghianus,,mallotus,mallotus roxburghianus müll.arg.,roxburghianus,,,,
,,,mallotus tetracoccus,,19,4,1994,292
mallotus tetracoccus,,mallotus,mallotus tetracoccus (roxb.) kurz,tetracoccus,19,4,1994,
mallotus tetracoccus,,mallotus,mallotus tetracoccus (roxb.) kurz,tetracoccus,,,,109
mallotus tetracoccus,,mallotus,mallotus tetracoccus (roxb.) kurz,tetracoccus,,,,
malva verticillata,,malva,malva verticillata l.,verticillata,,,,
mangifera longipes,,mangifera,mangifera longipes griff.,longipes,16,5,1999,136
mangifera sylvatica,,mangifera,mangifera sylvatica roxb.,sylvatica,9,5,1994,
mangifera sylvatica,,mangifera,mangifera sylvatica roxb.,sylvatica,,,,129
,,mantisia,mantisia sp.,sp.,8,4,1997,293
,,mantisia,mantisia sp.,sp.,25,4,1997,301
mappianthus hookeranus,,mappianthus,mappianthus hookeranus (baill.) sleumer,hookeranus,13,7,1850,234
mappianthus hookeranus,,mappianthus,mappianthus hookeranus (baill.) sleumer,hookeranus,22,8,1850,194
marchantia papillata,,marchantia,marchantia papillata subsp. grossibarba (steph.) bischl.,papillata,31,8,1943,53
marchantia papillata,,marchantia,marchantia papillata subsp. grossibarba (steph.) bischl.,papillata,22,2,1945,243
mariscus sieberianus,,mariscus,mariscus sieberianus nees ex c.b.clarke var. nossibeensis (steud.) cherm.,sieberianus,24,4,1994,114
marsdenia tenacissima,,marsdenia,marsdenia tenacissima wight & arn.,tenacissima,,,,
marsdenia thyrsiflora,,marsdenia,marsdenia thyrsiflora,thyrsiflora,18,7,1977,160
marsdenia thyrsiflora,,marsdenia,marsdenia thyrsiflora,thyrsiflora,21,7,1977,202
marsdenia thyrsiflora,,marsdenia,marsdenia thyrsiflora,thyrsiflora,18,7,1977,199
marsdenia thyrsiflora,,marsdenia,marsdenia thyrsiflora,thyrsiflora,21,7,1977,147
marsdenia thyrsiflora,,marsdenia,marsdenia thyrsiflora,thyrsiflora,27,5,1850,202
marsdenia thyrsiflora,,marsdenia,marsdenia thyrsiflora,thyrsiflora,9,6,1850,199
marsilea minuta,,marsilea,marsilea minuta,minuta,9,6,1944,192
marsilea minuta,,marsilea,marsilea minuta,minuta,10,7,1944,
marsilea minuta,,marsilea,marsilea minuta l.,minuta,,,,161
marsilea vestita,,marsilea,marsilea vestita ssp. vestita,vestita,9,6,1944,161
mastigolejeunea auriculata,,mastigolejeunea,mastigolejeunea humilis (gottsche) schiffn.,auriculata,2,3,1965,61
mazus pumilus,,mazus,mazus bicolor benth.,pumilus,,,,
mecopus nidulans,,mecopus,mecopus nidulans benn.,nidulans,,,,
panicum maximum,,panicum,megathyrsus maximus (jacq.) b.k. simon & s.w.l. jacobs,maximum,17,1,1979,17
meizotropis buteiformis,,meizotropis,meizotropis buteiformis voigt,buteiformis,,,,
,,melanthera,melanthera biflora,biflora,24,7,1943,15
,,melastoma,melastoma  l.,,15,3,1979,229
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,10,7,1992,192
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,18,7,1992,219
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,6,8,1992,200
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,10,8,1886,105
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,15,4,1994,
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,,,,
melastoma malabathricum,,melastoma,melastoma malabathricum,malabathricum,,,,222
azadirachta indica,,azadirachta,melia azadirachta l.,indica,,,,
melia azedarach,,melia,melia azedarach,azedarach,16,3,1945,75
,,,meliaceae,,10,5,1994,73
,,,meliaceae,,3,4,1997,241
,,,meliaceae,,25,4,1997,
,,,meliaceae,,3,6,1999,55
melicope,,melicope,melicope  juss.,,16,5,1999,136
melinis longiseta,,melinis,melinis longiseta (a.rich.) zizka subsp. longiseta,longiseta,14,3,1979,73
,,meliosma,meliosma pinnata,pinnata,10,5,1945,343
,,meliosma,meliosma pinnata,pinnata,7,8,1887,
,,meliosma,meliosma pinnata (roxb.) maxim.,pinnata,2,6,2000,232
,,meliosma,meliosma pinnata (roxb.) maxim. subsp. pinnata,pinnata,,,,80
meliosma simplicifolia,,meliosma,meliosma simplicifolia,simplicifolia,7,8,1886,
meliosma simplicifolia,,meliosma,meliosma simplicifolia,simplicifolia,,,,
meliosma simplicifolia,,meliosma,meliosma simplicifolia,simplicifolia,,,,219
meliosma simplicifolia,,meliosma,meliosma simplicifolia,simplicifolia,,,,
melocanna baccifera,,melocanna,melocanna baccifera,baccifera,22,4,1876,113
melodinus cochinchinensis,,melodinus,melodinus cochinchinensis (lour.) merr.,cochinchinensis,9,8,1876,222
memecylon,,memecylon,memecylon  l.,,3,10,1977,30
memecylon,,memecylon,memecylon  l.,,30,1,1979,116
memecylon,,memecylon,memecylon  l.,,26,4,1994,276
memecylon grande,,memecylon,memecylon grande retz.,grande,,,,
memecylon griffithianum,,memecylon,memecylon griffithianum naudin,griffithianum,,,,
merremia hederacea,,merremia,merremia hederacea,hederacea,22,11,1944,327
merremia umbellata,,merremia,merremia umbellata,umbellata,19,2,1945,63
merremia umbellata,,merremia,merremia umbellata,umbellata,22,2,1945,50
merremia umbellata,,merremia,merremia umbellata,umbellata,3,3,1876,53
merremia vitifolia,,merremia,merremia vitifolia,vitifolia,10,8,1886,222
mesosphaerum suaveolens,,mesosphaerum,mesosphaerum suaveolens,suaveolens,1,2,1989,32
mesua,,mesua,mesua,,5,1,1978,5
mesua,,mesua,mesua,,25,5,1999,145
mesua ferrea,,mesua,mesua ferrea,ferrea,1,3,1945,
mesua ferrea,,mesua,mesua ferrea,ferrea,27,3,1897,86
mesua floribunda,,mesua,mesua floribunda (wall.) kosterm.,floribunda,,,,
mesua ferrea,,mesua,mesua speciosa choisy,ferrea,,,,60
,,metadina,metadina trichotoma (zoll. & moritzi) bakh. f.,trichotoma,,,,
meyna spinosa,,meyna,meyna spinosa roxb. ex link,spinosa,10,5,1994,130
,,mezoneuron,mezoneuron cucullatum,cucullatum,,,,
mezonevron enneaphyllum,,mezonevron,mezoneuron enneaphyllum (roxb.) wight & arn. ex voigt,enneaphyllum,13,4,1994,103
,,microcos,microcos paniculata,paniculata,30,8,1968,98
,,microcos,microcos paniculata,paniculata,2,5,1989,114
,,microcos,microcos paniculata,paniculata,10,7,1992,221
,,microcos,microcos paniculata,paniculata,17,7,1992,
,,microcos,microcos paniculata,paniculata,16,8,1992,344
,,microcos,microcos paniculata,paniculata,16,8,1992,219
,,microcos,microcos paniculata,paniculata,8,8,1886,108
,,microcos,microcos paniculata,paniculata,,,,192
microlepia hookeriana,,microlepia,microlepia hookeriana (wall.) c.presl,hookeriana,,,,
microlepia rhomboidea,,microlepia,microlepia rhomboidea (wall. ex. kunze) c. presl,rhomboidea,,,,
microlepia rhomboidea,,microlepia,microlepia rhomboidea c. presl,rhomboidea,,,,
microlepia speluncae,,microlepia,microlepia speluncae,speluncae,3,4,1997,93
microlepia speluncae,,microlepia,microlepia speluncae (l.) t. moore,speluncae,3,4,1997,93
microlepia speluncae,,microlepia,microlepia speluncae (l.) t.moore,speluncae,3,4,1997,147
microlepia speluncae,,microlepia,microlepia speluncae (l.) t.moore,speluncae,27,5,1999,93
microlepia trapeziformis,,microlepia,microlepia trapeziformis,trapeziformis,,,,
micromelum integerrimum,,micromelum,micromelum integerrimum,integerrimum,7,8,1886,219
micromelum integerrimum,,micromelum,micromelum integerrimum (buch.-ham. ex dc.) wight & arn. ex m.roem.,integerrimum,,,,
micromelum minutum,,micromelum,micromelum pubescens,minutum,9,12,1988,344
micromelum minutum,,micromelum,micromelum pubescens blume,minutum,16,4,1994,106
,,micropera,micropera apiculata,apiculata,13,5,1945,
,,microsorum,microsorum punctatum,punctatum,23,4,1944,220
,,microsorum,microsorum punctatum,punctatum,31,5,1944,213
,,microsorum,microsorum punctatum,punctatum,10,7,1944,228
microtropis discolor,,microtropis,microtropis discolor,discolor,,,,
microtropis discolor,,microtropis,microtropis discolor wall.,discolor,26,9,1852,143
microtropis discolor,,microtropis,microtropis discolor wallich,discolor,22,5,1832,270
microtropis discolor,,microtropis,microtropis discolor wallich,discolor,22,5,1832,
microtropis discolor,,microtropis,microtropis discolor wallich,discolor,,,,143
,,mikania,mikania micrantha,micrantha,9,12,1988,351
,,mikania,mikania scandens (l.) willd. [1],scandens,5,6,1999,
,,miliusa,miliusa dioeca (roxb.) chaowasku & kessler,dioeca,9,8,1876,326
,,miliusa,miliusa dioeca (roxb.) chaowasku & kessler,dioeca,,,,
,,miliusa,miliusa dioeca (roxb.) chaowasku & kessler,dioeca,,,,137
,,miliusa,miliusa dioeca (roxb.) chaowasku & kessler,dioeca,,,,144
miliusa globosa,,miliusa,miliusa globosa (a.dc.) panigrahi & s.c.mishra,globosa,,,,
miliusa roxburghiana,,miliusa,miliusa roxburghiana hook.f. & thomson,roxburghiana,,,,
miliusa sclerocarpa,,miliusa,miliusa sclerocarpa kurz,sclerocarpa,16,6,2002,167
miliusa velutina,,miliusa,miliusa velutina hook.f. & thomson,velutina,24,5,1994,144
,,millettia,millettia pinnata,pinnata,9,8,1887,130
,,millettia,millettia pinnata (l.) panigrahi,pinnata,1,6,2000,91
mimosa diplotricha,,mimosa,mimosa diplotricha,diplotricha,9,8,1988,222
,,mimosa,mimosa pudica,pudica,10,7,1992,221
,,mimosa,mimosa pudica,pudica,18,7,1992,219
,,mimosa,mimosa pudica,pudica,6,8,1992,39
,,mimosa,mimosa pudica l.,pudica,16,5,1999,192
,,mimosa,mimosa rubicaulis,rubicaulis,10,12,1988,199
,,mimosa,mimosa rubicaulis,rubicaulis,2,2,1989,98
,,mimulus,mimulus arbicularis benth.,arbicularis,21,11,1979,
baillonella toxisperma,,baillonella,mimusops djave,toxisperma,12,9,1944,256
miquelia kleinii,,miquelia,miquelia kleinii meisn.,kleinii,,,,
mirabilis jalapa,,mirabilis,mirabilis jalapa,jalapa,19,8,1992,232
miscanthus fuscus,,miscanthus,miscanthus fuscus (roxb.) benth.,fuscus,14,5,1980,135
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,30,8,1967,220
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,8,8,1886,92
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,8,8,1886,86
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,,,,
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,27,3,1966,86
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,27,3,1966,
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,2,4,1997,
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,25,4,1997,115
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,26,5,1999,220
mischocarpus pentapetalus,,mischocarpus,mischocarpus pentapetalus,pentapetalus,,,,146
