dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
urn:catalog:mo:tropicos:322147,thomas 4339,undesignated,melastomataceae juss.,24,1,1985,24
urn:catalog:mo:tropicos:130249,thomas 4410,undesignated,meliaceae juss.,24,2,1985,55
urn:catalog:mo:tropicos:128969,harris 2998,undesignated,meliaceae juss.,28,7,1991,209
urn:catalog:mo:tropicos:128963,harris 2537,undesignated,meliaceae juss.,21,9,1990,264
urn:catalog:mo:tropicos:1814761,sainge 639,undesignated,meliaceae juss.,8,7,2000,190
https://data.biodiversitydata.nl/naturalis/specimen/wag.1884117,"thomas, dw  6874",memecylon,memecylon,31,1,1987,31
https://data.biodiversitydata.nl/naturalis/specimen/wag.1884115,"thomas, dw  8103",memecylon,memecylon,10,6,1988,162
urn:catalog:mo:tropicos:322488,thomas 6874,memecylon,memecylon afzelii,8,8,1987,220
urn:catalog:mo:tropicos:322529,thomas 6893,memecylon,memecylon afzelii,8,8,1987,220
urn:catalog:cas:bot-bc:514633,639,memecylon,memecylon afzelii,8,4,1997,98
http://specimens.kew.org/herbarium/k000050323,6740,memecylon,memecylon candidum,20,2,1987,51
https://data.biodiversitydata.nl/naturalis/specimen/wag.1093629,"thomas, dw  6740",memecylon,memecylon candidum,20,2,1987,51
urn:catalog:mo:tropicos:322806,thomas 4296,memecylon,memecylon candidum,24,1,1985,24
urn:catalog:mo:tropicos:322741,thomas 3316,memecylon,memecylon candidum,24,3,1984,84
urn:catalog:mo:tropicos:322717,thomas 4692,memecylon,memecylon candidum,4,12,1985,338
urn:catalog:mo:tropicos:323382,thomas 5820,memecylon,memecylon candidum,3,10,1986,276
urn:catalog:mo:tropicos:322265,thomas 8109,memecylon,memecylon candidum,6,10,1988,280
urn:catalog:mo:tropicos:1300607,kenfack 658,memecylon,memecylon capitellatum,17,4,1997,107
urn:catalog:mo:tropicos:1813961,sainge 585,memecylon,memecylon capitellatum,26,6,2000,178
urn:catalog:mo:tropicos:1300583,kenfack 639,memecylon,memecylon capitellatum,4,8,1997,216
http://specimens.kew.org/herbarium/k000460385,947,memecylon,memecylon dasyanthum,26,5,2007,146
https://data.biodiversitydata.nl/naturalis/specimen/wag.1093421,"burgt, xm van der",memecylon,memecylon dasyanthum,26,5,2007,146
http://specimens.kew.org/herbarium/k000460185,8155,memecylon,memecylon englerianum,25,4,1996,116
http://specimens.kew.org/herbarium/k000460179,187,memecylon,memecylon englerianum,25,4,1996,116
urn:catalog:cas:bot-bc:514745,8155,memecylon,memecylon englerianum,25,4,1996,116
urn:catalog:cas:bot-bc:514747,187,memecylon,memecylon englerianum,25,4,1996,116
urn:catalog:mo:tropicos:322356,thomas 5844,memecylon,memecylon englerianum,3,10,1986,276
http://specimens.kew.org/herbarium/k000460180,1827,memecylon,memecylon englerianum,11,4,1996,102
urn:catalog:mo:tropicos:323388,thomas 7663,memecylon,memecylon korupense,4,7,1988,186
