(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
DJP134T3E5P3S1-3,neea,neea spruceana,neea spruceana heimerl,18,8,1989,230
DJP232T3E2P2S2-2,adiantum,adiantum serratodentatum,adiantum serratodentatum humb. & bonpl. ex willd.,15,8,1986,227
DJP1T4E4P1S1-5,pteris,,pteris l.,19,8,1986,231
DJP10T3E5P2S1-2,apeiba,apeiba membranacea,apeiba membranacea spruce ex benth.,8,8,1983,220
DJP260T3E1P2S1-5,ceiba,ceiba pentandra,ceiba pentandra (l.) gaertn.,5,8,1983,217
DJP02T4E4P2S1-2,zygia,,zygia coccinea (g. don) l. rico,20,8,1983,232
DJP264T3E1P2S2-4,inga,inga tenuistipula,inga tenuistipula ducke,19,8,1983,231
DJP209T3E3P2S2-3,cupania,,cupania cinerea poepp.,25,1,1987,25
DJP226T3E2P2S1-5,allophylus,allophylus zeylanicus,allophylus l.,30,8,1990,242
DJP134T3E5P3S1-2,gloeospermum,gloeospermum sphaerocarpum,gloeospermum sphaerocarpum triana & planch.,7,9,1986,250
DJP211T3E4P1S1-3,trichilia,trichilia poeppigii,trichilia poeppigii c. dc.,18,8,1989,230
DJP259T3E1P2S1-4,miconia,,miconia bubalina  (d.don) naudin,5,11,1986,309
DJP232T3E2P2S2-5,diospyros,diospyros subrotata,diospyros subrotata hiern,11,8,1983,223
DJP292T3E3P1S1-2,fridericia,fridericia spicata,fridericia spicata (bureau & k. schum.) l.g. lohmann,5,6,2001,156
DJP292T3E3P1S1-3,myrcia,,myrcia guianensis (aubl.) dc.,25,9,1991,268
DJP211T3E4P1S1-2,handroanthus,handroanthus guayacan,handroanthus guayacan (seem.) s.o. grose,28,8,1986,240
DJP210T2E1P3S2-5,adenocalymma,adenocalymma bracteolatum,adenocalymma bracteolatum dc.,21,10,1979,294
DJP209T3E3P2S2-5,anthurium,anthurium sagittatum,anthurium sagittatum (sims) g. don,13,9,1986,256
DJP225T3E4P1S1-1,cyclopeltis,cyclopeltis semicordata,cyclopeltis semicordata (sw.) j. sm.,6,8,1986,218
DJP317T3E3P3S2-4,huertea,huertea glandulosa,huertea glandulosa ruiz & pav.,11,8,1983,223
DJP235T3E2P2S2-4,caraipa,caraipa myrcioides,caraipa myrcioides ducke,8,8,1983,220
DJP259T3E1P2S1-3,byttneria,byttneria asterotricha,byttneria asterotricha mildbr.,3,8,1983,215
DJP317T3E3P3S2-2,passiflora,passiflora triloba,passiflora triloba ruiz & pav. ex dc.,7,9,1986,250
DJP209T3E3P2S2-4,lindackeria,lindackeria paludosa,lindackeria paludosa (benth.) gilg,18,8,1989,230
DJP252T2E1P1S1-4,micropholis,micropholis egensis,micropholis egensis (a. dc.) pierre,14,9,1991,257
DJP259T2E1P1S2-1,psidium,,psidium acidum (dc.) landrum,17,8,1983,229
DJP266T2E1P1S2-3,schnella,,schnella glabra,5,9,1986,248
DJP210T2E1P3S2-1,allophylus,allophylus amasonicus,allophylus amazonicus,20,8,1973,232
DJP211T3E4P1S1-1,wendlandiella,wendlandiella gracilis,wendlandiella gracilis var. simplicifrons (burret) a.j.hend.,8,8,1983,220
DJP264T2E1P1S2-5,ruizodendron,ruizodendron ovale,ruizodendron ovale (ruiz & pav.) r.e. fr.,15,9,1986,258
DJP225T3E4P1S1-5,unonopsis,,unonopsis r.e. fr.,11,8,1983,223
DJP209T3E3P2S2-1,brosimum,brosimum lactescens,brosimum lactescens (s. moore) c.c. berg,10,8,1983,222
DJP215T3E4P1S1-2,ficus,ficus ypsilophlebia,ficus ypsilophlebia dugand,10,7,1984,192
DJP232T3E2P2S2-3,epiphyllum,epiphyllum phyllanthus,epiphyllum phyllanthus (l.) haw.,1,8,1983,213
DJP264T2E1P1S2-1,sloanea,sloanea garckeana,sloanea garckeana k. schum.,16,8,1986,228
DJP264T2E1P1S2-4,inga,inga,inga setosa g. don,24,9,1986,267
DJP319T3E3P3S2-5,mimosa,,mimosa l.,18,8,1989,230
DJP226T3E2P2S1-1,combretum,combretum fruticosum,combretum laxum jacq.,10,7,1984,192
DJP90T3E4P2S1-2,alchornea,alchornea glandulosa,alchornea glandulosa poepp.,31,8,1984,244
DJP227T3E2P2S1-5,hiraea,,hiraea jacq.,14,7,1984,196
DJP90T3E4P2S1-3,astronium,astronium graveolens,astronium graveolens jacq.,18,8,1989,230
DJP260T3E1P2S1-1,adiantum,adiantum poeppigianum,adiantum poeppigianum (kuhn) hieron.,19,8,1986,231
DJP151T2E3P2S2-2,nephrolepis,nephrolepis occidentalis,nephrolepis occidentalis kunze,24,9,1986,267
DJP235T3E2P2S2-1,vismia,,vismia gracilis hieron.,18,8,1989,230
DJP260T3E1P2S1-2,sciadotenia,sciadotenia toxifera,sciadotenia toxifera krukoff & a.c. sm.,25,7,1977,206
DJP225T3E4P1S1-3,neea,neea verticillata,neea ruiz & pav.,18,8,1986,230
DJP191T2E3P1S2-5,rinorea,rinorea viridifolia,rinorea viridifolia rusby,28,7,1986,209
DJP226T3E2P2S1-2,casearia,,casearia sylvestris var. sylvestris,18,8,1989,230
DJP189T2E2P2S1-1,nautilocalyx,nautilocalyx,nautilocalyx scandens,,,,
DJP251T2E1P1S1-5,calyptranthes,calyptranthes speciosa,calyptranthes speciosa var. speciosa,20,8,1983,232
DJP259T2E1P1S2-3,klarobelia,klarobelia candida,klarobelia candida,21,11,1994,325
DJP204T2E3P3S1-3,undesignated,,lauraceae juss.,27,8,1984,240
DJP266T2E1P1S2-2,undesignated,,lauraceae juss.,25,9,1991,268
DJP143T3E4P3S1-2,endlicheria,endlicheria dysodantha,endlicheria dysodantha (ruiz & pav.) mez,10,8,1983,222
DJP143T3E4P3S1-5,brosimum,brosimum alicastrum,brosimum alicastrum subsp. bolivarense (pittier) c.c. berg,14,8,1983,226
DJP266T2E1P1S2-5,clarisia,clarisia biflora,clarisia biflora ruiz & pav.,11,8,1983,223
DJP204T2E3P3S1-2,hasseltia,hasseltia floribunda,hasseltia laxiflora (benth.) eichler,11,8,1973,223
DJP90T3E4P2S1-4,inga,inga thibaudiana,inga thibaudiana dc.,18,8,1989,230
DJP264T3E1P2S2-3,caesalpinia,caesalpinia crista,caesalpinia l.,12,8,1973,224
DJP10T3E5P2S1-4,inga,inga,inga mill.,8,10,1991,281
DJP204T2E3P3S1-4,heisteria,,heisteria nitida engl.,18,7,1984,200
DJP226T3E2P2S1-4,tapura,tapura peruviana,tapura peruviana k. krause,12,9,1979,255
DJP143T3E4P3S1-4,styloceras,styloceras brokawii,styloceras brokawii a.h. gentry & r.b. foster,15,8,1983,227
DJP12T1E5P2S3-3,banisteriopsis,banisteriopsis prancei,banisteriopsis prancei b. gates,7,9,1986,250
DJP251T2E1P1S1-2,serjania,serjania nutans,serjania nutans poepp.,18,8,1989,230
DJP90T3E4P2S1-5,trichilia,trichilia poeppigii,trichilia poeppigii c. dc.,8,8,1983,220
DJP254T2E1P1S2-3,bignonia,bignonia aequinoctialis,bignonia aequinoctialis l.,17,6,2001,168
DJP143T3E4P3S1-3,piper,piper secundum,piper glabratum kunth,13,10,1982,286
DJP252T2E1P1S1-5,iriartea,iriartea deltoidea,iriartea deltoidea ruiz & pav.,21,7,1984,203
DJP65T2E4P1S1-3,schnella,,schnella pterocalyx,5,9,1986,248
DJP211T3E4P1S1-5,diplazium,diplazium praestans,diplazium praestans (copel.) c.v. morton,15,8,1986,227
DJP210T2E1P3S2-3,undesignated,,flacourtiaceae rich. ex dc.,8,10,1991,281
DJP190T2E3P1S1-5,undesignated,,bignoniaceae juss.,25,9,1991,268
DJP61T2E4P1S1-1,rinorea,rinorea viridifolia,rinorea viridifolia rusby,23,8,1986,235
DJP225T3E4P1S1-2,micropholis,micropholis egensis,micropholis egensis (a. dc.) pierre,10,8,1983,222
DJP151T2E3P2S2-5,chrysophyllum,chrysophyllum venezuelanense,chrysophyllum venezuelanense (pierre) t.d. penn.,11,8,1983,223
DJP134T3E5P3S1-4,ludwigia,ludwigia erecta,ludwigia erecta (l.) h. hara,4,8,1984,217
DJP254T2E1P1S2-5,ludwigia,ludwigia leptocarpa,ludwigia leptocarpa (nutt.) h. hara,16,8,1984,229
DJP227T3E2P2S1-2,sapium,sapium marmieri,sapium marmieri huber,16,10,1979,289
DJP259T2E1P1S2-5,lundia,,lundia spruceana bureau,3,11,1986,307
DJP259T2E1P1S2-4,asplenium,asplenium pearcei,asplenium pearcei baker,9,9,1986,252
DJP190T2E3P1S1-1,chrysochlamys,chrysochlamys ulei,chrysochlamys ulei engl.,23,8,1976,236
DJP254T2E1P1S2-2,undesignated,,oleaceae hoffmanns. & link,30,8,1990,242
DJP68T2E4P1S1-2,siparuna,siparuna decipiens,siparuna decipiens (tul.) a. dc.,1,8,1986,213
DJP03T1E4P1S1-5,ficus,ficus coerulescens,ficus killipii standl.,17,10,1979,290
DJP264T2E1P1S2-2,amaranthus,amaranthus,amaranthus spinosus l.,16,8,1984,229
DJP254T2E1P1S2-1,renealmia,renealmia urbaniana,renealmia urbaniana loes.,28,10,1980,302
DJP251T2E1P1S1-4,urera,urera caracasana,urera caracasana (jacq.) griseb.,1,11,1980,306
DJP151T2E3P2S2-3,undesignated,,undesignated,3,8,1986,215
DJP254T2E1P1S2-4,cecropia,cecropia sciadophylla,cecropia sciadophylla mart.,20,7,1986,201
DJP143T3E4P3S1-1,trichilia,trichilia quadrijuga,trichilia quadrijuga kunth subsp. quadrijuga,7,9,1976,251
DJP203T2E3P3S1-3,strychnos,strychnos mitscherlichii,strychnos mitscherlichii m.r. schomb.,18,10,1979,291
DJP190T2E3P1S1-4,eumachia,,eumachia albert-smithii (standl.) delprete & j.h. kirkbr.,11,7,1984,193
DJP155T1E1P2S1-5,psychotria,psychotria herzogii,psychotria herzogii s. moore,8,10,1991,281
DJP65T2E4P1S1-2,smilax,smilax tamnoides,smilax l.,19,10,1979,292
DJP10T3E5P2S1-1,tovomita,tovomita,tovomita,28,10,1980,302
DJP10T3E5P2S1-3,astrocaryum,astrocaryum murumuru,astrocaryum murumuru var. macrocalyx (burret) a.j.hend.,15,9,1980,259
DJP189T2E2P2S1-4,brassia,,brassia caudata (l.) lindl.,26,8,1986,238
DJP215T3E4P1S1-1,paullinia,paullinia hystrix,paullinia hystrix radlk.,12,8,1973,224
DJP07T2E5P1S1-5,warszewiczia,warszewiczia coccinea,warszewiczia coccinea (vahl) klotzsch,18,8,1989,230
DJP203T2E3P3S1-2,undesignated,,undesignated,18,8,1986,230
DJP251T2E1P1S1-1,undesignated,,undesignated,26,7,1986,207
DJP134T3E5P3S1-5,inga,inga cayennensis,inga cayennensis sagot ex benth.,18,8,1986,230
DJP013T1E1P3S1-4,gurania,,gurania (schltdl.) cogn.,17,8,1974,229
DJP210T2E1P3S2-4,calathea,calathea propinqua,calathea propinqua,5,11,1986,309
DJP266T2E1P1S2-1,inga,inga,inga mill.,20,10,1995,293
DJP61T2E4P1S1-3,solanum,solanum oppositifolium,solanum oppositifolium ruiz & pav.,18,8,1986,230
DJP210T2E1P3S2-2,lycianthes,lycianthes leptocaulis,lycianthes leptocaulis (rusby) rusby,5,7,1984,187
DJP01T1E3P1S1-5,aegiphila,aegiphila,aegiphila cordata var. cordata,25,1,1987,25
DJP203T2E3P3S1-1,ruellia,,ruellia l.,26,7,1986,207
DJP12T1E5P2S3-5,inga,inga,inga capitata desv.,10,8,1983,222
DJP203T2E3P3S1-5,erythroxylum,erythroxylum ruryi,erythroxylum ruryi plowman,18,8,1989,230
DJP61T2E4P1S1-2,protium,protium puncticulatum,protium puncticulatum j.f.macbr.,20,7,1984,202
DJP203T2E3P3S1-4,cantinoa,cantinoa mutabilis,cantinoa mutabilis (rich.) harley & j.f.b.pastore,6,8,1984,219
DJP266T2E1P1S2-4,paullinia,paullinia hystrix,paullinia hystrix,12,8,1973,224
DJP264T2E1P1S2-3,scleria,,scleria microcarpa var. latifolia boeckeler,19,10,1979,292
DJP62T2E4P1S1-3,fevillea,fevillea pedatifolia,fevillea pedatifolia (cogn.) c. jeffrey,19,10,1979,292
DJP01T1E1P1S1-5,allophylus,allophylus scrobiculatus,allophylus scrobiculatus,11,5,1977,131
DJP155T1E1P2S1-4,undesignated,,convolvulaceae juss.,19,5,1984,140
DJP68T2E4P1S1-3,undesignated,,apocynaceae juss.,23,10,1979,296
DJP61T2E4P1S1-5,malmea,malmea dielsiana,malmea dielsiana saff. ex r.e. fr.,12,11,1982,316
DJP189T2E2P2S1-2,tradescantia,tradescantia zanonia,tradescantia zanonia (l.) sw.,18,8,1986,230
DJP252T2E1P1S1-3,sorocea,sorocea briquetii,sorocea briquetii j.f. macbr.,25,9,1991,268
DJP259T2E1P1S2-2,uncaria,,uncaria guianensis (aubl.) j.f. gmel.,5,7,1984,187
DJP013T1E1P3S1-5,gallesia,gallesia integrifolia,gallesia integrifolia (spreng.) harms,8,8,1983,220
DJP204T2E3P3S1-1,neea,neea hirsuta,neea hirsuta poepp. & endl.,7,8,1986,219
DJP191T2E3P1S2-1,calyptranthes,calyptranthes manuensis,calyptranthes manuensis b.holst & m.l.kawas.,8,10,1980,282
DJP251T2E1P1S1-3,xylophragma,xylophragma platyphyllum,xylophragma platyphyllum (dc.) l.g. lohmann,23,10,1979,296
DJP190T2E3P1S1-2,undesignated,,araceae juss.,26,10,1993,299
DJP65T2E4P1S1-5,ctenanthe,ctenanthe amphiandina,ctenanthe amphiandina,12,9,1986,255
DJP68T2E4P1S1-4,anthurium,,anthurium schott,13,8,1973,225
DJP68T2E4P1S1-5,ruellia,,ruellia l.,26,7,1986,207
DJP190T2E3P1S1-3,solanum,solanum morellifolium,solanum morellifolium bohs,15,8,1986,227
DJP163T1E1P2S1-2,neea,neea verticillata,neea ruiz & pav.,19,9,1986,262
DJP013T1E1P3S1-3,pterocarpus,,pterocarpus jacq.,8,10,1991,281
DJP15T1E5P2S3-5,lonchocarpus,lonchocarpus spiciflorus,lonchocarpus spiciflorus mart. ex benth.,11,8,1983,223
DJP189T2E2P2S1-3,inga,inga ruiziana,inga ruiziana g. don,14,8,1983,226
DJP252T2E1P1S1-1,undesignated,,lauraceae juss.,8,8,1983,220
DJP02T1E4P1S1-4,chamaedorea,chamaedorea angustisecta,chamaedorea angustisecta burret,18,7,1984,200
DJP61T2E4P1S1-4,aegiphila,aegiphila haughtii,aegiphila haughtii var. serratifolia,,,,
DJP155T1E1P2S1-2,vandenboschia,vandenboschia collariata,vandenboschia collariata,17,8,1974,229
DJP01T1E2P1S1-1,renealmia,renealmia breviscapa,renealmia breviscapa poepp. & endl.,22,11,1994,326
DJP013T1E1P3S1-2,rinorea,rinorea viridifolia,rinorea viridifolia rusby,8,8,1986,220
DJP157T1E1P2S1-5,rinorea,rinorea viridifolia,rinorea viridifolia rusby,3,8,1983,215
DJP151T2E3P2S2-1,malmea,malmea dielsiana,malmea dielsiana saff. ex r.e. fr.,10,8,1983,222
DJP65T2E4P1S1-4,ocotea,ocotea,ocotea aubl.,25,9,1991,268
DJP252T2E1P1S1-2,castilloa,castilloa ulei,castilla ulei warb.,20,8,1986,232
DJP191T2E3P1S2-3,pourouma,pourouma minor,pourouma minor benoist,8,8,1986,220
DJP204T2E3P3S1-5,casearia,casearia combaymensis,casearia combaymensis tul.,11,8,1973,223
DJP15T1E5P2S3-1,inga,inga,inga capitata desv.,8,8,1983,220
DJP189T2E2P2S1-5,inga,inga,inga punctata willd.,17,8,1973,229
DJP163T1E1P2S1-5,inga,inga stenoptera,inga stenoptera benth.,6,8,1986,218
DJP017T1E1P3S2-3,inga,inga thibaudiana,inga thibaudiana dc.,18,8,1989,230
DJP62T2E4P1S1-2,machaerium,machaerium punctatum,machaerium pers.,18,8,1989,230
DJP07T2E5P1S1-3,neea,neea spruceana,neea spruceana heimerl,8,8,1983,220
DJP12T1E5P2S3-4,allophylus,allophylus paniculatus,allophylus punctatus (poepp.) radlk.,18,8,1989,230
DJP03T1E4P1S1-2,calatola,calatola costaricensis,calatola standl.,25,9,1991,268
DJP01T1E3P1S1-2,acalypha,acalypha brachiata,acalypha l.,15,8,1983,227
DJP62T2E4P1S1-1,sapium,sapium marmieri,sapium marmieri huber,2,8,1983,214
DJP04T1E1P1S1-1,paragonia,,paragonia pyramidata (rich.) bureau,7,9,1986,250
DJP163T1E1P2S1-4,protium,protium tenuifolium,protium tenuifolium (engl.) engl.,11,9,1986,254
DJP191T2E3P1S2-4,undesignated,,myrtaceae juss.,26,10,1993,299
DJP05T1E5P1S1-4,trichilia,trichilia quadrijuga,trichilia quadrijuga subsp. quadrijuga,10,8,1983,222
DJP02T1E4P1S1-2,guarea,,guarea macrophylla subsp. pachycarpa (c. dc.) t.d. penn.,2,8,1983,214
DJP08T1E3P3S1-2,cabralea,cabralea canjerana,cabralea canjerana subsp. canjerana,2,8,1986,214
DJP017T1E1P3S2-5,biophytum,biophytum sensitivum,biophytum dc.,18,9,1986,261
DJP01T1E3P1S1-3,paragonia,,paragonia pyramidata (rich.) bureau,17,2,1977,48
DJP07T2E5P1S1-2,mauritia,mauritia flexuosa,mauritia flexuosa l. f.,29,7,1984,211
DJP62T2E4P1S1-4,syngonium,syngonium podophyllum,syngonium podophyllum schott,10,8,1983,222
DJP155T1E1P2S1-3,ludwigia,ludwigia leptocarpa,ludwigia leptocarpa (nutt.) h. hara,16,8,1984,229
DJP07T2E5P1S1-1,undesignated,,bignoniaceae juss.,7,9,1986,250
DJP03T1E4P1S1-1,mansoa,mansoa verrucifera,mansoa verrucifera (schltdl.) a.h. gentry,5,6,2001,156
DJP151T2E3P2S2-4,alchornea,alchornea glandulosa,alchornea glandulosa poepp.,30,7,1986,211
DJP191T2E3P1S2-2,luehea,luehea cymulosa,luehea cymulosa spruce ex benth.,8,7,1984,190
DJP157T1E1P2S1-4,chrysochlamys,chrysochlamys ulei,chrysochlamys ulei engl.,14,7,1984,196
DJP164T1E1P2S2-1,virola,virola,virola aubl.,24,7,1984,206
DJP03T1E4P1S1-3,guatteria,guatteria blepharophylla,guatteria blepharophylla mart.,1,8,1983,213
DJP163T1E1P2S1-3,hieronyma,hieronyma alchorneoides,hieronyma alchorneoides var. alchorneoides,17,8,1983,229
DJP68T2E4P1S1-1,undesignated,,arecaceae bercht. & j. presl,10,8,1984,223
DJP08T1E3P3S1-4,endlicheria,endlicheria paniculata,endlicheria nees,7,11,1986,311
DJP157T1E1P2S1-1,endlicheria,endlicheria krukovii,endlicheria krukovii (a.c. sm.) kosterm.,1,2,1981,32
DJP01T1E1P1S1-3,curarea,curarea toxicofera,curarea toxicofera (wedd.) barneby & krukoff,19,10,1979,292
DJP02T1E4P1S1-3,rinorea,rinorea viridifolia,rinorea viridifolia rusby,8,8,1983,220
DJP01T1E2P1S1-3,leonia,leonia glycycarpa,leonia glycycarpa var. glycycarpa,9,9,1986,252
DJP06T1E3P1S1-4,lindackeria,lindackeria paludosa,lindackeria paludosa (benth.) gilg,3,9,1986,246
DJP15T1E5P2S3-4,casearia,,casearia decandra jacq.,8,10,1991,281
DJP62T2E4P1S1-5,parathesis,parathesis adenanthera,parathesis adenanthera (miq.) hook. f. ex mez,18,8,1989,230
DJP143T1E2P3S4-3,socratea,socratea salazarii,socratea salazarii h.e.moore,21,10,1979,294
DJP01T1E2P1S1-5,oenocarpus,oenocarpus,oenocarpus mapora h.karst.,21,9,1986,264
DJP013T1E1P3S1-1,attalea,attalea tessmannii,attalea tessmannii burret,,,,
DJP01T1E1P1S1-4,mikania,mikania guaco,mikania guaco,17,8,1974,229
DJP69T1E3P2S1-5,barnebydendron,,barnebydendron riedelii,5,11,1986,309
DJP32T1E5P3S1-5,serjania,serjania tenuifolia,serjania tenuifolia,2,10,1991,275
DJP05T1E5P1S1-2,eschweilera,eschweilera andina,eschweilera mart. ex dc.,22,1,1987,22
DJP08T1E3P3S1-1,guadua,,guadua sp.,3,11,1986,307
DJP07T2E5P1S1-4,ardisia,ardisia albovirens,ardisia albovirens mez,19,8,1976,232
DJP163T1E1P2S1-1,gallesia,gallesia integrifolia,gallesia integrifolia (spreng.) harms,22,10,1979,295
DJP155T1E1P2S1-1,cissus,cissus glaucotricha,cissus glaucotricha lombardi,17,8,1974,229
DJP65T2E4P1S1-1,undesignated,,undesignated,18,8,1989,230
DJP02T1E1P1S1-3,palicourea,,palicourea didymocarpos (a. rich.) griseb.,18,8,1989,230
DJP017T1E1P3S2-4,aconisia,aconisia grandis,aconisia grandis (hitchc. & chase) j.r. grande,17,8,1974,229
DJP05T1E5P1S1-1,cuspidaria,cuspidaria floribunda,cuspidaria floribunda (dc.) a.h. gentry,20,8,1983,232
DJP04T1E1P1S1-2,monstera,monstera lechleriana,monstera lechleriana schott,18,7,1984,200
DJP01T1E3P1S1-4,drypetes,drypetes amazonica,drypetes amazonica var. peruviana j.f. macbr.,5,8,1983,217
DJP69T1E3P2S1-2,toulicia,toulicia reticulata,toulicia reticulata radlk.,23,8,1986,235
DJP12T1E5P2S3-2,croton,croton pachypodus,croton pachypodus g.l. webster,13,9,1986,256
DJP01T1E1P1S1-2,capparidastrum,capparidastrum osmanthum,capparis osmantha diels,31,8,1984,244
DJP01T1E1P1S1-1,cayaponia,cayaponia peruviana,cayaponia peruviana (poepp. & endl.) cogn.,14,10,1979,287
DJP15T1E5P2S3-2,miconia,miconia procumbens,miconia procumbens,29,10,1980,303
DJP04T1E1P1S1-5,undesignated,,undesignated,18,8,1986,230
DJP04T1E1P1S1-4,oxandra,oxandra espintana,oxandra espintana (spruce ex benth.) baill.,16,10,1979,289
DJP01T1E4P3S1-5,triplaris,triplaris americana,triplaris americana l.,15,12,1998,349
LCP155T5E5P3S4-1,heliconia,heliconia,heliconia l.,2,8,1986,214
DJP017T1E1P3S2-1,geogenanthus,geogenanthus poeppigii,geogenanthus poeppigii (miq.) faden,21,10,1979,294
LCP01T5E4P2S1-2,cestrum,cestrum schlechtendahlii,cestrum schlechtendalii g. don,12,9,1986,255
DJP12T1E5P2S3-1,serjania,serjania glabrata,serjania glabrata kunth,17,8,1974,229
DJP15T1E5P2S3-3,ficus,,ficus maxima mill.,18,8,1989,230
DJP157T1E1P2S1-3,solanum,solanum schlechtendalianum,solanum schlechtendalianum walp.,16,8,1986,228
DJP01T1E4P3S1-2,neea,neea verticillata,neea ruiz & pav.,18,8,1989,230
DJP157T1E1P2S1-2,caraipa,,caraipa densifolia mart.,8,7,1984,190
DJP143T1E2P3S4-4,mendoncia,mendoncia bivalvis,mendoncia hirsuta poepp. & endl.,19,7,1984,201
DJP017T1E1P3S2-2,scleria,,scleria  p.j.bergius,26,11,1980,331
DJP143T1E2P3S4-1,genipa,,genipa l.,26,10,1993,299
DJP69T1E3P2S1-4,caraipa,,caraipa,19,10,1979,292
LCP155T5E5P3S4-5,jacaratia,jacaratia digitata,jacaratia digitata (poepp. & endl.) solms,20,10,1979,293
DJP01T1E2P1S1-2,apeiba,apeiba membranacea,apeiba membranacea spruce ex benth.,17,10,1979,290
DJP143T1E2P3S4-2,celtis,celtis iguanaea,celtis iguanaea (jacq.) sarg.,26,9,1980,270
DJP01T1E4P1S1-2,guatteria,guatteria microcarpa,guatteria ruiz & pav.,26,10,1993,299
DJP06T1E3P1S1-2,zygia,,zygia latifolia var. communis barneby & j.w. grimes,17,8,1973,229
DJP32T1E5P3S1-2,maclura,maclura tinctoria,maclura tinctoria (l.) d. don ex steud.,26,10,1993,299
DJP02T1E1P1S1-1,undesignated,,undesignated,8,8,1986,220
DJP01T1E4P3S1-4,adiantum,adiantum poeppigianum,adiantum poeppigianum (kuhn) hieron.,8,11,1984,313
DJP164T1E1P2S2-3,undesignated,,myrtaceae juss.,4,8,1983,216
DJP143T1E2P3S4-5,undesignated,,apocynaceae juss.,30,8,1990,242
DJP164T1E1P2S2-4,cupania,,cupania latifolia,,,,
DJP03T1E4P1S1-4,eclipta,eclipta prostrata,eclipta alba (l.) hassk.,6,8,1984,219
DJP32T1E5P3S1-1,philodendron,philodendron hederaceum hederaceum,philodendron scandens k. koch & sello,14,9,1991,257
LCP03T5E3P1S1-3,nautilocalyx,nautilocalyx whitei,nautilocalyx whitei rusby,18,8,1989,230
LCP03T5E4P1S1-2,inga,inga oerstediana,inga oerstediana benth. ex seem.,25,1,1987,25
DJP05T1E5P1S1-5,zanthoxylum,zanthoxylum martinicense,zanthoxylum martinicense (lam.) dc.,16,10,1991,289
DJP08T1E3P3S1-5,dalbergia,dalbergia monetaria,dalbergia monetaria l. f.,5,5,1977,125
DJP05T1E5P1S1-3,carpotroche,carpotroche brasiliensis,carpotroche endl.,13,10,1982,286
DJP04T1E1P1S1-3,casearia,,casearia obovalis poepp. ex griseb.,13,9,1982,256
DJP01T1E4P1S1-5,pouteria,pouteria ephedrantha,pouteria ephedrantha (a.c. sm.) t.d. penn.,18,10,1979,291
DJP32T1E5P3S1-3,fridericia,fridericia spicata,fridericia spicata (bureau & k. schum.) l.g. lohmann,23,10,1979,296
DJP02T1E4P1S1-5,undesignated,,annonaceae juss.,1,5,1987,121
DJP05T1E1P1S1-2,undesignated,,moraceae gaudich.,5,8,1983,217
DJP01T1E4P1S1-3,undesignated,,fabaceae lindl.,25,9,1991,268
DJP01T1E4P3S1-1,unonopsis,unonopsis floribunda,unonopsis floribunda diels,11,8,1983,223
DJP014T1E1P1S3-5,xylopia,xylopia ligustrifolia,xylopia ligustrifolia humb. & bonpl. ex dunal,30,8,1990,242
DJP69T1E3P2S1-3,neea,neea divaricata,neea divaricata poepp. & endl.,3,9,1986,246
LCP05T5E3P3S1-2,amaranthus,amaranthus,amaranthus spinosus l.,15,8,1983,227
DJP06T1E3P1S1-5,coccoloba,coccoloba colombiana,coccoloba colombiana r.a. howard,15,8,1986,227
LCP01T5E4P2S1-3,cedrelinga,cedrelinga cateniformis,cedrelinga cateniformis (ducke) ducke,30,8,1990,242
DJP01T1E4P1S1-4,inga,inga alba,inga alba (sw.) willd.,18,8,1989,230
LCP08T5E2P3S2-1,casearia,,casearia obovalis,29,1,1977,29
DJP01T1E2P1S1-4,senegalia,senegalia rurrenabaqueana,senegalia rurrenabaqueana (rusby) seigler & ebinger,26,8,1984,239
LCP01T5E4P2S1-4,cynanchum,cynanchum blandum,cynanchum blandum,31,10,1986,304
DJP02T1E1P1S1-4,acalypha,acalypha scandens,acalypha scandens benth.,20,8,1976,233
DJP02T1E1P1S1-5,monteverdia,,monteverdia sprucei (briq.) biral,16,9,1980,260
DJP69T1E3P2S1-1,trichilia,trichilia poeppigii,trichilia poeppigii c. dc.,1,8,1983,213
DJP014T1E1P1S3-1,trichilia,trichilia quadrijuga,trichilia quadrijuga subsp. quadrijuga,1,8,1983,213
DJP03T1E3P1S1-3,anthurium,anthurium eminens,anthurium eminens schott,14,9,1991,257
LCP01T5E5P3S1-5,monstera,monstera obliqua,monstera obliqua miq.,15,8,1983,227
DJP03T1E3P1S1-2,undesignated,,undesignated,17,10,1979,290
LCP011T5E2P1S2-1,undesignated,,lauraceae juss.,20,10,1979,293
DJP164T1E1P2S2-5,lacunaria,lacunaria macrostachya,lacunaria macrostachya (tul.) a.c. sm.,18,9,1986,261
DJP05T1E1P1S1-3,rinorea,rinorea lindeniana,rinorea lindeniana (tul.) kuntze,14,7,1984,196
DJP05T1E1P1S1-5,casearia,casearia gossypiosperma,casearia gossypiosperma briq.,18,8,1989,230
DJP01T1E3P1S1-1,pouteria,pouteria franciscana,pouteria franciscana baehni,8,8,1983,220
LCP121T5E5P2S5-4,tovomita,tovomita guianensis,tovomita aubl.,28,10,1980,302
DJP014T1E1P1S3-2,plinia,,plinia l.,8,10,1991,281
LCP01T5E4P2S1-5,heisteria,,heisteria acuminata (bonpl.) engl.,22,10,1980,296
LCP015T5E2P1S2-3,hura,hura crepitans,hura crepitans l.,16,10,1979,289
