(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
LCP019T2E5P3S1,polygala,polygala,polygala gigantea,20,10,1979,293
LCP109T2E5P1S2,coccoloba,coccoloba lehmannii,coccoloba lehmannii,12,9,1986,255
LCP225T2E5P1S4,callaeum,callaeum antifebrile,callaeum antifebrile,19,9,1986,262
LCP175T2E5P1S3,maieta,,maieta guianensis var. guianensis,23,10,1979,296
LCP105T2E5P2S4,bignonia,bignonia sciruipabula,clytostoma sciuripabulum,17,10,1991,290
LCP260T2E5P1S5,inga,inga,inga marginata,1,6,1977,152
LCP233T2E5P1S4,paullinia,paullinia elegans,paullinia elegans subsp. elegans,10,7,1984,192
LCP254T2E5P1S5,caraipa,,caraipa densifolia,12,8,1984,225
LCP084T2E5P2S3,vatairea,vatairea fusca,vatairea fusca (ducke) ducke,20,9,1986,263
LCP018T2E5P2S1,ficus,,ficus pertusa,21,11,1976,326
LCP028T2E5P2S1,guettarda,guettarda aromatica,guettarda aromatica,7,3,1977,66
LCP017T2E5P2S1,ficus,,ficus radula,20,8,1976,233
LCP239T2E5P1S4,capparidastrum,capparidastrum sola,capparidastrum sola,21,8,1976,234
LCP227T2E5P1S4,aechmea,aechmea bromeliifolia,aechmea bromeliifolia (rudge) baker,25,9,1991,268
LCP07T2E5P2S1,oxandra,oxandra espintana,oxandra espintana,8,9,1986,251
LCP271T2E5P1S5,neea,neea divaricata,neea divaricata,3,9,1986,246
LCP025T2E5P3S1,bixa,bixa orellana,bixa orellana,21,8,1976,234
LCP015T2E5P3S1,fevillea,fevillea cordifolia,fevillea cordifolia,13,10,1991,286
LCP101T2E5P2S3,pleopeltis,pleopeltis,pleopeltis burchellii (baker) hickey & sprunt ex a.r. sm.,17,8,1974,229
LCP133T2E5P2S5,acrostichum,acrostichum danaeifolium,acrostichum danaeifolium,9,11,1986,313
LCP160T2E5P2S5,pausandra,pausandra trianae,pausandra trianae (müll.arg.) baill.,19,8,1973,231
LCP028T2E5P3S1,inga,inga adenophylla,inga adenophylla,19,9,1986,262
LCP091T2E5P2S3,magnolia,magnolia,magnolia manuensis f. arroyo,14,10,1980,288
LCP100T2E5P2S3,moutabea,moutabea aculeata,moutabea aculeata,5,8,1983,217
LCP013T2E5P3S1,sapium,,sapium,16,10,1979,289
LCP132T2E5P2S5,faramea,faramea miconioides,faramea miconioides,17,8,1974,229
LCP05T2E5P3S1,solanum,solanum terminale,solanum phytolaccoides,12,9,1986,255
LCP026T2E5P3S1,pachystachys,pachystachys spicata,pachystachys spicata,15,8,1983,227
LCP090T2E5P2S3,allophylus,allophylus glabratus,allophylus glabratus,25,2,1977,56
LCP080T2E5P2S3,psilotum,psilotum nudum,psilotum nudum,10,9,1986,253
LCP164T2E5P2S5,schnella,,schnella microstachya var. microstachya,12,8,1973,224
LCP131T2E5P2S5,raputia,,raputia paraensis,5,11,1986,309
LCP152T2E5P2S5,peritassa,peritassa huanucana,peritassa huanucana,21,9,1986,264
LCP169T2E5P2S5,huertea,huertea glandulosa,huertea glandulosa,5,9,1986,248
LCP162T2E5P2S5,serjania,serjania tenuifolia,serjania tenuifolia,12,10,1991,285
LCP04T2E5P3S1,paullinia,paullinia alata,paullinia alata,28,2,1977,59
LCP012T2E5P3S1,serjania,serjania nutans,serjania nutans,15,8,1983,227
LCP170T2E5P2S5,miconia,miconia aulocalyx,miconia aulocalyx  mart. ex triana,12,2,1977,43
LCP166T2E5P2S5,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri,6,7,1984,188
LCP061T2E5P2S2,dicliptera,dicliptera purpurascens,dicliptera purpurascens,4,8,1984,217
LCP130T2E5P2S5,gurania,gurania capitata,gurania capitata,15,6,1977,166
