dwc:catalogNumber,Family,dwc:genus,species,Day,Month,Year,Day of the year
barcode/00026760,Alismataceae,echinodorus,echinodorus grisebachii,1,1,1900,1
171541,Alismataceae,echinodorus,echinodorus grisebachii,7,3,1981,66
157898,Alismataceae,echinodorus,echinodorus grisebachii,3,5,1979,123
100421111,Alismataceae,echinodorus,echinodorus grisebachii,8,8,1857,220
26793,Alismataceae,echinodorus,echinodorus grisebachii,6,9,1984,250
393742,Alismataceae,echinodorus,echinodorus grisebachii,8,3,1911,67
133163,Alismataceae,echinodorus,echinodorus grisebachii,6,11,2008,311
3388077,Alismataceae,echinodorus,echinodorus grisebachii,4,5,1985,124
822845,Alismataceae,echinodorus,echinodorus grisebachii,8,9,1966,251
65502,Alismataceae,echinodorus,echinodorus grisebachii,5,11,2016,310
2416903,Alismataceae,echinodorus,echinodorus grisebachii,8,8,1860,221
158014,Alismataceae,echinodorus,echinodorus grisebachii,8,8,1979,220
718221,Alismataceae,echinodorus,echinodorus grisebachii,3,8,1911,215
2284224,Alismataceae,echinodorus,echinodorus grisebachii,6,10,1950,279
1004318,Alismataceae,echinodorus,echinodorus grisebachii,3,7,1981,184
3577025,Alismataceae,echinodorus,echinodorus grisebachii,10,6,1989,161
3097539,Alismataceae,echinodorus,echinodorus grisebachii,4,5,1985,124
73857,Alismataceae,echinodorus,echinodorus grisebachii,6,6,2014,157
542894,Alismataceae,echinodorus,echinodorus grisebachii,5,3,1979,64
961136,Alismataceae,echinodorus,echinodorus grisebachii,12,3,1987,71
72885,Alismataceae,echinodorus,echinodorus grisebachii,12,7,2007,193
v0271944f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,17,3,1980,77
v0271945f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
2175375,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
123023,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
2175377,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,28,10,1981,301
v0271948f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,15,3,1980,75
v0271942f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,28,10,1981,301
v0271947f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
997414,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,14,3,1983,73
2175376,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
2175379,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
2175381,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,17,3,1980,77
2175382,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,16,3,1980,76
v0271943f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
2175380,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
123022,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
122981,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
u  0076481,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,16,3,1980,76
204235,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,30,8,2000,243
122966,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,16,3,1980,76
204237,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,13,1,2000,13
116938,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,28,10,1981,301
204796,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,17,1,2000,17
202909,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,17,1,2000,17
122979,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
v0271946f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
120410,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,17,3,1980,77
v0271949f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,14,3,1983,73
2175383,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,15,3,1980,75
,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,29,9,1948,273
v0271950f,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,16,3,1980,76
2175387,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,30,9,1983,273
u  0076486,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
3244716,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,28,10,1981,301
2933112,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,17,3,1980,77
2963152,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
2963150,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
2788242,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,16,3,1980,76
2803283,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,21,3,1980,81
2963161,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
2963154,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
2802930,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
2803090,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,3,1980,79
2963118,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,16,3,1980,76
7908,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,19,8,2017,231
2175378,Erythroxylaceae,erythroxylum,erythroxylum tucuruiense,5,11,1980,310
202770,Amaryllidaceae,eucharis,eucharis amazonica,22,7,1984,204
22832,Amaryllidaceae,eucharis,eucharis amazonica,23,7,1959,204
202771,Amaryllidaceae,eucharis,eucharis amazonica,24,7,1984,206
,Amaryllidaceae,eucharis,eucharis amazonica,24,7,1984,206
202769,Amaryllidaceae,eucharis,eucharis amazonica,22,7,1984,204
233253,Amaryllidaceae,eucharis,eucharis amazonica,19,7,2011,200
u.1065439,Amaryllidaceae,eucharis,eucharis amazonica,22,12,1964,357
,Amaryllidaceae,eucharis,eucharis amazonica,15,8,1993,227
u.1065442,Amaryllidaceae,eucharis,eucharis amazonica,25,11,1926,329
u.1065427,Amaryllidaceae,eucharis,eucharis amazonica,18,8,1906,230
l.1463807,Amaryllidaceae,eucharis,eucharis amazonica,25,11,1926,329
u.1065428,Amaryllidaceae,eucharis,eucharis amazonica,21,8,1947,233
u.1065429,Amaryllidaceae,eucharis,eucharis amazonica,30,7,1906,211
rb00576212,Amaryllidaceae,eucharis,eucharis amazonica,24,7,2008,206
,Amaryllidaceae,eucharis,eucharis amazonica,15,8,1993,227
1010428,Amaryllidaceae,eucharis,eucharis amazonica,24,6,1898,175
330884,Amaryllidaceae,eucharis,eucharis amazonica,24,6,1898,175
rb00576163,Amaryllidaceae,eucharis,eucharis amazonica,24,7,2008,206
618337,Amaryllidaceae,eucharis,eucharis amazonica,23,1,1989,23
1807052,Amaryllidaceae,eucharis,eucharis amazonica,31,12,1992,366
1663133,Amaryllidaceae,eucharis,eucharis amazonica,30,6,1934,181
618294,Amaryllidaceae,eucharis,eucharis amazonica,23,8,1989,235
1804343,Amaryllidaceae,eucharis,eucharis amazonica,24,7,1984,206
100372946,Amaryllidaceae,eucharis,eucharis amazonica,21,11,2010,325
618536,Amaryllidaceae,eucharis,eucharis amazonica,26,5,1988,147
1493745,Amaryllidaceae,eucharis,eucharis amazonica,31,1,1935,31
1804344,Amaryllidaceae,eucharis,eucharis amazonica,22,7,1984,204
618492,Amaryllidaceae,eucharis,eucharis amazonica,22,10,1988,296
2675845,Amaryllidaceae,eucharis,eucharis amazonica,29,4,1968,120
1808717,Amaryllidaceae,eucharis,eucharis amazonica,31,1,1935,31
43012,Amaryllidaceae,eucharis,eucharis amazonica,29,7,2005,210
7536,Amaryllidaceae,eucharis,eucharis amazonica,19,3,1998,78
3729472,Amaryllidaceae,eucharis,eucharis amazonica,18,5,2017,138
3095289,Amaryllidaceae,eucharis,eucharis amazonica,27,3,1997,86
618370,Amaryllidaceae,eucharis,eucharis amazonica,30,3,1990,89
618449,Amaryllidaceae,eucharis,eucharis amazonica,29,4,1989,119
763215,Amaryllidaceae,eucharis,eucharis amazonica,19,10,1916,293
1225606,Amaryllidaceae,eucharis,eucharis amazonica,29,1,1924,29
3354361,Amaryllidaceae,eucharis,eucharis amazonica,21,2,1997,52
1956936,Amaryllidaceae,eucharis,eucharis amazonica,29,11,1945,333
1168882,Amaryllidaceae,eucharis,eucharis amazonica,22,4,1923,112
101281691,Amaryllidaceae,eucharis,eucharis amazonica,24,3,2021,83
202765,Amaryllidaceae,eucharis,eucharis amazonica,7,11,1982,311
22831,Amaryllidaceae,eucharis,eucharis amazonica,3,6,1959,154
1802756,Amaryllidaceae,eucharis,eucharis amazonica,3,8,1934,215
1802853,Amaryllidaceae,eucharis,eucharis amazonica,8,1,1959,8
1802796,Amaryllidaceae,eucharis,eucharis amazonica,8,6,1948,160
202764,Amaryllidaceae,eucharis,eucharis amazonica,6,11,1982,310
202768,Amaryllidaceae,eucharis,eucharis amazonica,6,2,1983,37
s06/6866,Amaryllidaceae,eucharis,eucharis amazonica,1,1,1900,1
202767,Amaryllidaceae,eucharis,eucharis amazonica,6,2,1983,37
u.1065425,Amaryllidaceae,eucharis,eucharis amazonica,1,1,1906,1
202772,Amaryllidaceae,eucharis,eucharis amazonica,7,12,1984,342
rb01416307,Amaryllidaceae,eucharis,eucharis amazonica,7,10,2018,280
22830,Amaryllidaceae,eucharis,eucharis amazonica,3,6,1959,154
1802799,Amaryllidaceae,eucharis,eucharis amazonica,8,8,1948,221
u.1065440,Amaryllidaceae,eucharis,eucharis amazonica,5,4,1950,95
202766,Amaryllidaceae,eucharis,eucharis amazonica,6,12,1982,340
881355,Amaryllidaceae,eucharis,eucharis amazonica,6,7,1994,187
u.1065441,Amaryllidaceae,eucharis,eucharis amazonica,12,5,1922,132
2738260,Amaryllidaceae,eucharis,eucharis amazonica,10,9,1973,253
192015,Arecaceae,euterpe,euterpe catinga,14,11,1997,318
123400,Arecaceae,euterpe,euterpe catinga,22,2,1984,53
2623043,Arecaceae,euterpe,euterpe catinga,17,3,1983,76
2324270,Arecaceae,euterpe,euterpe catinga,13,12,1991,347
2623044,Arecaceae,euterpe,euterpe catinga,16,3,1983,75
2324269,Arecaceae,euterpe,euterpe catinga,17,1,1968,17
2324114,Arecaceae,euterpe,euterpe catinga,19,5,1973,139
67425,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
1137400,Arecaceae,euterpe,euterpe catinga,24,10,1989,297
67431,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
67426,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324273,Arecaceae,euterpe,euterpe catinga,28,9,1987,271
2324268,Arecaceae,euterpe,euterpe catinga,21,9,1987,264
2324097,Arecaceae,euterpe,euterpe catinga,25,12,1970,359
,Arecaceae,euterpe,euterpe catinga,15,8,1978,227
u.1123619,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
,Arecaceae,euterpe,euterpe catinga,19,8,1978,231
67432,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324104,Arecaceae,euterpe,euterpe catinga,14,4,1953,104
67423,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324293,Arecaceae,euterpe,euterpe catinga,16,2,1984,47
,Arecaceae,euterpe,euterpe catinga,19,8,1978,231
2324433,Arecaceae,euterpe,euterpe catinga,14,12,1999,348
67421,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
67424,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
67420,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324089,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
2324267,Arecaceae,euterpe,euterpe catinga,18,7,1988,200
u.1123621,Arecaceae,euterpe,euterpe catinga,17,1,1968,17
2324288,Arecaceae,euterpe,euterpe catinga,16,2,1984,47
2324277,Arecaceae,euterpe,euterpe catinga,16,3,1983,75
1137416,Arecaceae,euterpe,euterpe catinga,22,2,1984,53
2324084,Arecaceae,euterpe,euterpe catinga,13,3,1990,72
67427,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
67436,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324297,Arecaceae,euterpe,euterpe catinga,18,10,1987,291
2324275,Arecaceae,euterpe,euterpe catinga,20,9,1988,264
67429,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324283,Arecaceae,euterpe,euterpe catinga,23,5,1986,143
2324432,Arecaceae,euterpe,euterpe catinga,17,2,1984,48
2324098,Arecaceae,euterpe,euterpe catinga,25,12,1970,359
67435,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324109,Arecaceae,euterpe,euterpe catinga,14,4,1953,104
2324295,Arecaceae,euterpe,euterpe catinga,17,3,1983,76
2324111,Arecaceae,euterpe,euterpe catinga,19,5,1973,139
2324090,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
2324120,Arecaceae,euterpe,euterpe catinga,26,1,1992,26
2324088,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
2324085,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
2324112,Arecaceae,euterpe,euterpe catinga,19,5,1973,139
67437,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324289,Arecaceae,euterpe,euterpe catinga,23,3,1987,82
2324113,Arecaceae,euterpe,euterpe catinga,19,5,1973,139
67430,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324091,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
u.1123622,Arecaceae,euterpe,euterpe catinga,17,1,1968,17
67433,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
190392,Arecaceae,euterpe,euterpe catinga,25,11,1996,330
178311,Arecaceae,euterpe,euterpe catinga,15,2,1995,46
85649,Arecaceae,euterpe,euterpe catinga,24,10,1978,297
163423,Arecaceae,euterpe,euterpe catinga,24,10,1989,297
20486,Arecaceae,euterpe,euterpe catinga,16,3,1967,75
u.1123620,Arecaceae,euterpe,euterpe catinga,17,1,1968,17
1137405,Arecaceae,euterpe,euterpe catinga,16,3,1967,75
1137402,Arecaceae,euterpe,euterpe catinga,14,2,1984,45
1109601,Arecaceae,euterpe,euterpe catinga,13,2,1984,44
2324271,Arecaceae,euterpe,euterpe catinga,26,4,1986,116
2324086,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
2324096,Arecaceae,euterpe,euterpe catinga,25,12,1970,359
67428,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324108,Arecaceae,euterpe,euterpe catinga,14,4,1953,104
2324105,Arecaceae,euterpe,euterpe catinga,14,4,1953,104
u.1123616,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
2324106,Arecaceae,euterpe,euterpe catinga,14,4,1953,104
,Arecaceae,euterpe,euterpe catinga,15,8,1978,227
u.1123618,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
2324107,Arecaceae,euterpe,euterpe catinga,14,4,1953,104
2324103,Arecaceae,euterpe,euterpe catinga,17,12,1948,352
u.1123617,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
2324278,Arecaceae,euterpe,euterpe catinga,20,2,1985,51
2324296,Arecaceae,euterpe,euterpe catinga,18,10,1988,292
67422,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
67434,Arecaceae,euterpe,euterpe catinga catinga,28,12,1948,363
2324087,Arecaceae,euterpe,euterpe catinga,16,1,1954,16
2324119,Arecaceae,euterpe,euterpe catinga,26,1,1992,26
1137407,Arecaceae,euterpe,euterpe catinga,16,3,1967,75
1137406,Arecaceae,euterpe,euterpe catinga,16,3,1967,75
1137404,Arecaceae,euterpe,euterpe catinga,16,3,1967,75
rb01381290,Arecaceae,euterpe,euterpe catinga,22,10,2017,295
rb00686719,Arecaceae,euterpe,euterpe catinga,30,10,2011,303
288494,Arecaceae,euterpe,euterpe catinga,27,11,1982,331
100553598,Arecaceae,euterpe,euterpe catinga,23,1,1977,23
2324434,Arecaceae,euterpe,euterpe catinga,20,10,1985,293
3256578,Arecaceae,euterpe,euterpe catinga catinga,20,10,1985,293
2324292,Arecaceae,euterpe,euterpe catinga,16,10,1970,289
3245606,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
2324284,Arecaceae,euterpe,euterpe catinga,13,10,1983,286
2624420,Arecaceae,euterpe,euterpe catinga,16,3,1983,75
294454,Arecaceae,euterpe,euterpe catinga,18,6,1992,170
100553572,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
291798,Arecaceae,euterpe,euterpe catinga,18,7,1988,200
1087511,Arecaceae,euterpe,euterpe catinga,23,3,1987,82
2624426,Arecaceae,euterpe,euterpe catinga,17,3,1983,76
1432658,Arecaceae,euterpe,euterpe catinga,14,6,1996,166
2689194,Arecaceae,euterpe,euterpe catinga,20,11,2002,324
2689188,Arecaceae,euterpe,euterpe catinga,20,11,2002,324
290101,Arecaceae,euterpe,euterpe catinga,23,5,1986,143
2689193,Arecaceae,euterpe,euterpe catinga,20,11,2002,324
292154,Arecaceae,euterpe,euterpe catinga catinga,20,2,1985,51
2689191,Arecaceae,euterpe,euterpe catinga,20,11,2002,324
2623128,Arecaceae,euterpe,euterpe catinga,26,2,1985,57
1797941,Arecaceae,euterpe,euterpe catinga,24,9,1939,267
2925589,Arecaceae,euterpe,euterpe catinga,25,12,1970,359
3245605,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
2324285,Arecaceae,euterpe,euterpe catinga,14,8,1970,226
100796786,Arecaceae,euterpe,euterpe catinga,25,4,2014,115
2324286,Arecaceae,euterpe,euterpe catinga,26,2,1985,57
2689189,Arecaceae,euterpe,euterpe catinga,20,11,2002,324
1136,Arecaceae,euterpe,euterpe catinga,17,10,1984,291
3245607,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
1797942,Arecaceae,euterpe,euterpe catinga,24,9,1939,267
1574,Arecaceae,euterpe,euterpe catinga,22,8,2001,234
2925590,Arecaceae,euterpe,euterpe catinga,25,12,1970,359
3245608,Arecaceae,euterpe,euterpe catinga,27,1,1985,27
4352,Arecaceae,euterpe,euterpe catinga,19,8,1985,231
1797943,Arecaceae,euterpe,euterpe catinga,24,9,1939,267
12521,Arecaceae,euterpe,euterpe catinga,24,10,1989,297
1137397,Arecaceae,euterpe,euterpe catinga,5,11,1971,309
2324116,Arecaceae,euterpe,euterpe catinga,7,9,1989,250
1137396,Arecaceae,euterpe,euterpe catinga,5,11,1971,309
2324272,Arecaceae,euterpe,euterpe catinga,6,2,1985,37
1137403,Arecaceae,euterpe,euterpe catinga,6,8,1986,218
,Arecaceae,euterpe,euterpe catinga catinga,9,12,1925,343
17806,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
100152675,Arecaceae,euterpe,euterpe catinga,4,8,2000,217
2324290,Arecaceae,euterpe,euterpe catinga,2,8,1985,214
2324117,Arecaceae,euterpe,euterpe catinga,7,9,1989,250
2324093,Arecaceae,euterpe,euterpe catinga,12,5,1964,133
2324287,Arecaceae,euterpe,euterpe catinga,11,2,1984,42
2324279,Arecaceae,euterpe,euterpe catinga,7,3,1987,66
2324099,Arecaceae,euterpe,euterpe catinga,10,1,1964,10
2324291,Arecaceae,euterpe,euterpe catinga,7,3,1992,67
2324115,Arecaceae,euterpe,euterpe catinga,7,9,1989,250
2324294,Arecaceae,euterpe,euterpe catinga,2,9,1989,245
2324101,Arecaceae,euterpe,euterpe catinga,10,1,1964,10
2324102,Arecaceae,euterpe,euterpe catinga,6,7,1960,188
2324094,Arecaceae,euterpe,euterpe catinga,12,5,1964,133
2324095,Arecaceae,euterpe,euterpe catinga,4,5,1970,124
2324280,Arecaceae,euterpe,euterpe catinga,7,10,1991,280
2324462,Arecaceae,euterpe,euterpe catinga,2,8,1985,214
2324100,Arecaceae,euterpe,euterpe catinga,10,1,1964,10
2324276,Arecaceae,euterpe,euterpe catinga,3,2,1989,34
1137398,Arecaceae,euterpe,euterpe catinga,5,11,1971,309
3256553,Arecaceae,euterpe,euterpe catinga catinga,10,10,1985,283
1137409,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
1915620,Arecaceae,euterpe,euterpe catinga,5,4,1979,95
999730,Arecaceae,euterpe,euterpe catinga,3,6,1996,155
100152676,Arecaceae,euterpe,euterpe catinga,4,8,2000,217
287163,Arecaceae,euterpe,euterpe catinga,8,8,1977,220
2829170,Arecaceae,euterpe,euterpe catinga,12,9,2005,255
2689151,Arecaceae,euterpe,euterpe catinga,11,10,2002,284
287896,Arecaceae,euterpe,euterpe catinga catinga,3,7,1987,184
3418267,Arecaceae,euterpe,euterpe catinga,2,2,1983,33
172839,Arecaceae,euterpe,euterpe catinga,3,12,1982,337
184580,Arecaceae,euterpe,euterpe catinga,6,8,1986,218
2324431,Arecaceae,euterpe,euterpe catinga,4,2,1955,35
34335,Arecaceae,euterpe,euterpe catinga,5,11,1971,309
166039,Arecaceae,euterpe,euterpe catinga,12,1,1991,12
u.1123624,Arecaceae,euterpe,euterpe catinga,8,2,1968,39
u.1123603,Arecaceae,euterpe,euterpe catinga,5,11,1971,309
2324265,Arecaceae,euterpe,euterpe catinga,3,2,1989,34
1137401,Arecaceae,euterpe,euterpe catinga,1,8,1986,213
1137413,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
2324430,Arecaceae,euterpe,euterpe catinga,6,11,2011,310
2324118,Arecaceae,euterpe,euterpe catinga,7,4,1991,97
3256549,Arecaceae,euterpe,euterpe catinga catinga,10,10,1985,283
1137408,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
2324110,Arecaceae,euterpe,euterpe catinga,6,7,1960,188
1137410,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
2324092,Arecaceae,euterpe,euterpe catinga,12,5,1964,133
1137399,Arecaceae,euterpe,euterpe catinga,12,1,1991,12
u.1123623,Arecaceae,euterpe,euterpe catinga,8,2,1968,39
rbdna00075483,Arecaceae,euterpe,euterpe catinga,3,1,1996,3
1622,Arecaceae,euterpe,euterpe catinga,10,8,1955,222
17806,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
2324274,Arecaceae,euterpe,euterpe catinga,9,8,1976,222
,Arecaceae,euterpe,euterpe catinga,5,8,1929,217
2633466,Arecaceae,euterpe,euterpe catinga,10,7,1991,191
2324282,Arecaceae,euterpe,euterpe catinga,12,2,1985,43
u.1123604,Arecaceae,euterpe,euterpe catinga,5,11,1971,309
3256548,Arecaceae,euterpe,euterpe catinga catinga,10,10,1985,283
3256550,Arecaceae,euterpe,euterpe catinga catinga,10,10,1985,283
2324121,Arecaceae,euterpe,euterpe catinga catinga,12,9,1966,255
1137414,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
1137412,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
1137411,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
1137415,Arecaceae,euterpe,euterpe catinga,12,9,1966,255
17771,Arecaceae,euterpe,euterpe catinga,1,12,1991,335
3256551,Arecaceae,euterpe,euterpe catinga catinga,10,10,1985,283
3256552,Arecaceae,euterpe,euterpe catinga catinga,10,10,1985,283
100551141,Arecaceae,euterpe,euterpe precatoria longivaginata,15,10,1898,288
v0092071f,Arecaceae,euterpe,euterpe precatoria longivaginata,21,4,1944,112
u.1123755,Arecaceae,euterpe,euterpe precatoria longivaginata,31,8,1966,243
u.1123748,Arecaceae,euterpe,euterpe precatoria longivaginata,30,3,1966,89
u.1123754,Arecaceae,euterpe,euterpe precatoria longivaginata,31,8,1966,243
67467,Arecaceae,euterpe,euterpe precatoria longivaginata,25,2,1985,56
1039197,Arecaceae,euterpe,euterpe precatoria longivaginata,28,6,1998,179
750557,Arecaceae,euterpe,euterpe precatoria longivaginata,25,4,1995,115
736376,Arecaceae,euterpe,euterpe precatoria longivaginata,25,4,1995,115
910085,Arecaceae,euterpe,euterpe precatoria longivaginata,28,6,1998,179
1174492,Arecaceae,euterpe,euterpe precatoria longivaginata,28,6,1998,179
526090,Arecaceae,euterpe,euterpe precatoria longivaginata,27,4,1978,117
1039198,Arecaceae,euterpe,euterpe precatoria longivaginata,28,6,1998,179
1758161,Arecaceae,euterpe,euterpe precatoria longivaginata,25,10,1999,298
290452,Arecaceae,euterpe,euterpe precatoria longivaginata,25,11,1985,329
2599632,Arecaceae,euterpe,euterpe precatoria longivaginata,15,8,1978,227
3370430,Arecaceae,euterpe,euterpe precatoria longivaginata,19,6,1967,170
2931267,Arecaceae,euterpe,euterpe precatoria longivaginata,17,12,2005,351
2580631,Arecaceae,euterpe,euterpe precatoria longivaginata,15,4,1904,106
2580632,Arecaceae,euterpe,euterpe precatoria longivaginata,15,4,1904,106
2580635,Arecaceae,euterpe,euterpe precatoria longivaginata,15,4,1904,106
290500,Arecaceae,euterpe,euterpe precatoria longivaginata,17,6,1986,168
2580633,Arecaceae,euterpe,euterpe precatoria longivaginata,15,4,1904,106
290409,Arecaceae,euterpe,euterpe precatoria longivaginata,16,1,1986,16
2580638,Arecaceae,euterpe,euterpe precatoria longivaginata,15,5,1904,136
100551139,Arecaceae,euterpe,euterpe precatoria longivaginata,15,8,1988,228
100894035,Arecaceae,euterpe,euterpe precatoria longivaginata,14,12,2013,348
287876,Arecaceae,euterpe,euterpe precatoria longivaginata,27,12,1988,362
289065,Arecaceae,euterpe,euterpe precatoria longivaginata,19,9,1986,262
943920,Arecaceae,euterpe,euterpe precatoria longivaginata,25,7,1974,206
289361,Arecaceae,euterpe,euterpe precatoria longivaginata,18,11,1985,322
2624560,Arecaceae,euterpe,euterpe precatoria longivaginata,28,7,1983,209
288631,Arecaceae,euterpe,euterpe precatoria longivaginata,16,2,1991,47
290696,Arecaceae,euterpe,euterpe precatoria longivaginata,25,11,1985,329
290604,Arecaceae,euterpe,euterpe precatoria longivaginata,15,9,1986,258
289808,Arecaceae,euterpe,euterpe precatoria longivaginata,14,6,1985,165
1958291,Arecaceae,euterpe,euterpe precatoria longivaginata,30,5,1994,150
1873157,Arecaceae,euterpe,euterpe precatoria longivaginata,27,2,1979,58
100551137,Arecaceae,euterpe,euterpe precatoria longivaginata,23,7,1977,204
1727387,Arecaceae,euterpe,euterpe precatoria longivaginata,30,7,1987,211
286325,Arecaceae,euterpe,euterpe precatoria longivaginata,29,11,1990,333
101080994,Arecaceae,euterpe,euterpe precatoria longivaginata,23,8,2017,235
2580634,Arecaceae,euterpe,euterpe precatoria longivaginata,15,4,1904,106
100225802,Arecaceae,euterpe,euterpe precatoria longivaginata,21,4,1944,112
3563845,Arecaceae,euterpe,euterpe precatoria longivaginata,19,5,1968,140
101174171,Arecaceae,euterpe,euterpe precatoria longivaginata,28,8,2018,240
1727374,Arecaceae,euterpe,euterpe precatoria longivaginata,26,11,1988,331
100176737,Arecaceae,euterpe,euterpe precatoria longivaginata,24,2,2001,55
3563847,Arecaceae,euterpe,euterpe precatoria longivaginata,19,5,1968,140
3563846,Arecaceae,euterpe,euterpe precatoria longivaginata,19,5,1968,140
100478650,Arecaceae,euterpe,euterpe precatoria longivaginata,25,2,2007,56
2662513,Arecaceae,euterpe,euterpe precatoria longivaginata,16,6,1983,167
101080987,Arecaceae,euterpe,euterpe precatoria longivaginata,27,7,2017,208
2580630,Arecaceae,euterpe,euterpe precatoria longivaginata,15,4,1904,106
100553574,Arecaceae,euterpe,euterpe precatoria longivaginata,30,3,1968,90
294235,Arecaceae,euterpe,euterpe precatoria longivaginata,30,4,1990,120
290998,Arecaceae,euterpe,euterpe precatoria longivaginata,14,10,1987,287
2974557,Arecaceae,euterpe,euterpe precatoria longivaginata,16,4,1928,107
293537,Arecaceae,euterpe,euterpe precatoria longivaginata,27,7,1986,208
