dwc:catalogNumber,dwc:datasetID,dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
l.1411741,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411741,caryota,caryota aequatorialis ,20,4,1937,110
l.1411740,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411740,caryota,caryota aequatorialis ,20,4,1937,110
l.1411742,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411742,caryota,caryota aequatorialis ,13,8,1937,225
l.1411742,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411742,caryota,caryota aequatorialis ,13,8,1937,225
l.1411743,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411743,caryota,caryota aequatorialis ,17,8,1937,229
l.1411744,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411744,caryota,caryota aequatorialis ,17,8,1937,229
l.1411743,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411743,caryota,caryota aequatorialis ,17,8,1937,229
l.1411744,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411744,caryota,caryota aequatorialis ,17,8,1937,229
l.1411772,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411772,caryota,caryota aequatorialis ,20,8,1940,233
l.1411772,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411772,caryota,caryota aequatorialis ,20,8,1940,233
2608286,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/301eaa80a-d576-43f4-9242-c260260f2590,caryota,caryota aequitorialis,20,4,1937,110
2608285,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/32a3a69e5-83af-48ea-8047-36c1d9863f47,caryota,caryota aequitorialis,20,4,1937,110
2608286,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/301eaa80a-d576-43f4-9242-c260260f2590,caryota,caryota aequitorialis,20,4,1937,110
2608285,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/32a3a69e5-83af-48ea-8047-36c1d9863f47,caryota,caryota aequitorialis,20,4,1937,110
1941438,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/38425ca0b-5983-410a-a997-841cf89e57ce,caryota,caryota aequitorialis,20,8,1937,232
1941438,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/38425ca0b-5983-410a-a997-841cf89e57ce,caryota,caryota aequitorialis,20,8,1937,232
qrs 44915.1,7ddf754f-d193-4cc9-b351-99906754a03b,5baf3e07-4192-45c1-a648-9ccaffe3f990,caryota,caryota albertii,27,7,1949,208
